controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,mean_crossing_score,mean_recoverability_score,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,burn_steps,coast_steps,burn_ratio,transfer_burn_count,safety_coast_steps,classification_counts_json
baseline_soft_linear_3e4,1.0,175.0,8000.0,1.0,True,True,True,True,-31.058008674702325,-3664.12991433049,-0.0073821690331051645,-0.8709259717889519,-762.443359375,False,0.7055993803725469,0.02761116937756757,False,1,8,596.3916015625,607.4658203125,3.3645032623345292,230,True,False,success,soft_window,"{""soft_window"": 8}",2.104654818683916e-16,1.6197255112205923e-10,-0.003805301908254566,7.549516567451064e-15,,,0.7055993803725469,0.02761116937756757,0.9961946980917454,1.0000000000000075,1.0000000000000075,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000026649.43555,150291319592.0088,63.938993763791515,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.019607843137254777,0.9209113934878578,-0.013620267358068205,-0.8018546995418536,,,,,0.9863797326419318,0.19814530045814632,0.7267794400515416,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000026127.00977,375219241696.8496,58.60010511204866,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.8703714348681936,-0.02781352146132343,-0.8157451983995561,,,,,0.9721864785386766,0.18425480160044394,0.7125319702880899,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999778030.68164,152717567891.542,276.7142706168291,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,1.0411755465057324,-0.12518223472029355,-0.9817418246862821,,,,,0.8748177652797064,0.018258175313717928,0.680942392565535,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,150.0,10000.0,1.0,True,True,True,True,-56.806558896857226,-3462.776521423222,-0.013502334433540864,-0.823066342493355,-3817.8857421875,False,0.6746558758239845,0.02052503083453011,False,1,1711,693.05859375,2453.6474609375,78.06700913583241,1927,True,False,success,soft_window,"{""soft_window"": 1711}",0.0,6.542913016537822e-10,-0.1339745962155613,5.995204332975845e-15,,,0.6746558758239845,0.02052503083453011,0.8660254037844387,1.000000000000006,1.0000000000000058,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149198751325.39844,150544096287.76855,404.36645734775647,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9606361979700722,-0.14250707428745557,-0.9976396603491355,,,,,0.8574929257125444,0.0023603396508644586,0.6609373932356164,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000136036.57227,378620323407.8428,432.52942857508054,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.9036729146570972,-0.15484574527148331,-0.9886120022056073,,,,,0.8451542547285167,0.011387997794392684,0.6466899247259618,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999885100.2578,151200471057.4287,98.49538074975737,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,1.0406937225256263,-0.024267568725401145,-0.9788539069733644,,,,,0.9757324312745989,0.021146093026635632,0.6809424066525582,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,165.0,10000.0,1.0,True,True,True,True,-44.60852682385054,-3025.2685757801814,-0.010602987744017904,-0.7190752063618795,-2523.248046875,False,0.5879837507187582,0.01630347108872191,False,1,41,1109.8916015625,1452.48828125,20.02351591027418,257,True,False,success,soft_window,"{""soft_window"": 41}",2.104654818683916e-16,3.8731520650728185e-10,-0.03407417371093191,5.995204332975845e-15,,,0.5879837507187582,0.01630347108872191,0.9659258262890681,1.000000000000006,1.000000000000006,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149785381703.07617,151656909491.87305,422.0336496820377,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.019607843137254777,0.9603450572017151,-0.04359091640216495,-0.9969946300620139,,,,,0.956409083597835,0.0030053699379860386,0.6609374062394391,False,0,0,0,0.0,0,,{}
