artifact_schema_version,experiment_id,case_id,seed,branch_id,branch_state_hash,manifest_hash,implementation_commit,case_configuration_hash,simulator_configuration_hash,simulator_constants_hash,branch_step,nominal_prefix_transition_count,recovery_transition_count,total_transition_count,recovery_horizon,total_horizon,hazard_threshold,hazard_comparator,stop_priority,stop_priority_version,terminal_reason,branch_terminal_label,controlled_terminal_label,recovery_outcome,valid,overspeed_status,instability_status,unsafe_state_status,invalid_simulation_status,invalid_recovery_evaluation_status,crossed_target_radius,first_crossing_step,phase34_compatible_recoverable_crossing,first_recoverable_crossing_step,recovery_success_status,recovery_success,recovery_success_step,final_simulator_success,overspeed_headroom,action_saturation_margin,available_correction_authority,required_to_available_correction_ratio,normalized_control_effort,delta_v_proxy,recovery_steps,crossing_delay,final_radius_error,final_radial_velocity_error,final_tangential_velocity_error,task_abandonment_status,monitor_evaluation_count,intervention_count,allow_count,veto_count,intervention_rate,first_intervention_step,last_intervention_step,longest_intervention_streak,veto_segment_count,action_suppression_duration,recovery_action_rejection_count,action_rejected,rejected_action_executed,physical_transition_executed,evaluator_versions,result_payload_hash
recovery_experiment_artifacts_v0,recovery_action_branching_nonformal_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,0,zero_action_reference_v0,8b017254a8db2584a6732bcd086447ba405cf949d9e932cf03e71543b2cdb898,e9cb96eae714bc0d8ed66d1a85f29baed2819d0d425a3ce9742b7e77ac236bad,2e1fffbb00789c185256d0b13dff65150f21ba50,a01564e00cacdc8e03b27835600b2028a0070a7f69bd301da141594626a85e61,0f0d94ba21a16747a8d6b3a23e7e28256967507522f4540533b927cd22248f46,f0416ba079a40b60641fa51fa35c8ee0d21a5a4d55a2add2916e17a673d59b97,28,27,10000,10027,10000,100000,1.9,>,"[""invalid_simulation"",""invalid_recovery_evaluation"",""overspeed"",""instability"",""unsafe_state"",""action_rejected"",""explicit_abort"",""recovery_success"",""recovery_horizon_exhausted"",""total_horizon_exhausted""]",recovery_stop_priority_v0,recovery_horizon_exhausted,recovery_horizon_exhausted,timeout,hazard_avoided_task_stalled,true,clear,clear,clear,clear,clear,false,,false,,clear,false,,false,0.00984819063743192,1.0,,,0.0,0.0,10000,,-143847482414.34473,6141.689153351855,844.2550471303048,true,10000,0,10000,0,0.0,,,0,0,0,0,false,false,true,"[""phase34_compatible_recoverability_predicate_v0"",""recovery_success_v0"",""repository_supported_instability_v0"",""repository_supported_unsafe_state_v0""]",e5d7f26a1d1c5c2ec9f74ca540b51ab417a786d362cc6eb2dc0b524750aa487a
recovery_experiment_artifacts_v0,recovery_action_branching_nonformal_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,0,velocity_opposed_thrust_v0,8b017254a8db2584a6732bcd086447ba405cf949d9e932cf03e71543b2cdb898,e9cb96eae714bc0d8ed66d1a85f29baed2819d0d425a3ce9742b7e77ac236bad,2e1fffbb00789c185256d0b13dff65150f21ba50,a01564e00cacdc8e03b27835600b2028a0070a7f69bd301da141594626a85e61,0f0d94ba21a16747a8d6b3a23e7e28256967507522f4540533b927cd22248f46,f0416ba079a40b60641fa51fa35c8ee0d21a5a4d55a2add2916e17a673d59b97,28,27,10000,10027,10000,100000,1.9,>,"[""invalid_simulation"",""invalid_recovery_evaluation"",""overspeed"",""instability"",""unsafe_state"",""action_rejected"",""explicit_abort"",""recovery_success"",""recovery_horizon_exhausted"",""total_horizon_exhausted""]",recovery_stop_priority_v0,recovery_horizon_exhausted,recovery_horizon_exhausted,timeout,hazard_avoided_task_stalled,true,clear,clear,clear,clear,clear,false,,false,,clear,false,,false,1.85342623080335,0.8060869189962131,,,2500.0,2770083.1024925155,10000,,-149935094684.03027,151.98493315122656,-4083.4949664737906,true,10000,0,10000,0,0.0,,,0,0,0,0,false,false,true,"[""phase34_compatible_recoverability_predicate_v0"",""recovery_success_v0"",""repository_supported_instability_v0"",""repository_supported_unsafe_state_v0""]",033077831dd7356f20b760f4f04d14d2a40c2c0f436477caa758f044d53fe65e
recovery_experiment_artifacts_v0,recovery_action_branching_nonformal_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,0,tangential_error_correction_v0,8b017254a8db2584a6732bcd086447ba405cf949d9e932cf03e71543b2cdb898,e9cb96eae714bc0d8ed66d1a85f29baed2819d0d425a3ce9742b7e77ac236bad,2e1fffbb00789c185256d0b13dff65150f21ba50,a01564e00cacdc8e03b27835600b2028a0070a7f69bd301da141594626a85e61,0f0d94ba21a16747a8d6b3a23e7e28256967507522f4540533b927cd22248f46,f0416ba079a40b60641fa51fa35c8ee0d21a5a4d55a2add2916e17a673d59b97,28,27,10000,10027,10000,100000,1.9,>,"[""invalid_simulation"",""invalid_recovery_evaluation"",""overspeed"",""instability"",""unsafe_state"",""action_rejected"",""explicit_abort"",""recovery_success"",""recovery_horizon_exhausted"",""total_horizon_exhausted""]",recovery_stop_priority_v0,recovery_horizon_exhausted,recovery_horizon_exhausted,timeout,hazard_avoided_task_stalled,true,clear,clear,clear,clear,clear,false,,false,,clear,false,,false,0.1653164940024614,0.7500000000003605,,,2500.0,2770083.1024925155,10000,,-143848083404.77832,6140.487528180932,-262.96855508467024,true,10000,0,10000,0,0.0,,,0,0,0,0,false,false,true,"[""phase34_compatible_recoverability_predicate_v0"",""recovery_success_v0"",""repository_supported_instability_v0"",""repository_supported_unsafe_state_v0""]",cf2ee925ac02099e689fc1e8eb6c1f2ef18d957897c1f8355395c09b80e5a7e3
recovery_experiment_artifacts_v0,recovery_action_branching_nonformal_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,0,explicit_abort_v0,8b017254a8db2584a6732bcd086447ba405cf949d9e932cf03e71543b2cdb898,e9cb96eae714bc0d8ed66d1a85f29baed2819d0d425a3ce9742b7e77ac236bad,2e1fffbb00789c185256d0b13dff65150f21ba50,a01564e00cacdc8e03b27835600b2028a0070a7f69bd301da141594626a85e61,0f0d94ba21a16747a8d6b3a23e7e28256967507522f4540533b927cd22248f46,f0416ba079a40b60641fa51fa35c8ee0d21a5a4d55a2add2916e17a673d59b97,28,27,0,27,10000,100000,1.9,>,"[""invalid_simulation"",""invalid_recovery_evaluation"",""overspeed"",""instability"",""unsafe_state"",""action_rejected"",""explicit_abort"",""recovery_success"",""recovery_horizon_exhausted"",""total_horizon_exhausted""]",recovery_stop_priority_v0,explicit_abort,explicit_recovery_abort,unknown_with_manual_audit,hazard_avoided_through_termination,true,clear,clear,clear,clear,clear,false,,false,,clear,false,,false,0.009397554547547093,,,,,,0,,-149988662907.7422,6140.671312172797,848.475678283864,true,0,0,0,0,,,,0,0,0,0,false,false,false,"[""phase34_compatible_recoverability_predicate_v0"",""recovery_success_v0"",""repository_supported_instability_v0"",""repository_supported_unsafe_state_v0""]",ff5d8c15968efda051beef5acc31fbccbf6215c12fc2afb1fdf0b6b0d637b920
