t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
4.200000000000000000e+02,1.499999999994672241e+11,1.250759999998554215e+07,-2.478034095696204919e-03,2.977999999989914068e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+02,1.499999999994418640e+11,1.280539999998448417e+07,-2.537034907081284728e-03,2.977999999989422213e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+02,1.499999999994158936e+11,1.310319999998337589e+07,-2.596035718436733725e-03,2.977999999988918353e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+02,1.499999999993893433e+11,1.340099999998221546e+07,-2.655036529761854985e-03,2.977999999988402851e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+02,1.499999999993622131e+11,1.369879999998100288e+07,-2.714037341055950715e-03,2.977999999987875708e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+02,1.499999999993344727e+11,1.399659999997973628e+07,-2.773038152318324425e-03,2.977999999987336923e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+02,1.499999999993061523e+11,1.429439999997841567e+07,-2.832038963548278322e-03,2.977999999986786497e+04,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+02,1.499999999992772522e+11,1.459219999997703731e+07,-2.891039774745115479e-03,2.977999999986224066e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+02,1.499999999992477417e+11,1.488999999997560307e+07,-2.950040585908138974e-03,2.977999999985649993e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+02,1.499999999992176514e+11,1.518779999997410923e+07,-3.009041397036651012e-03,2.977999999985064278e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+02,1.499999999991869812e+11,1.548559999997255579e+07,-3.068042208129954668e-03,2.977999999984466922e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+02,1.499999999991557007e+11,1.578339999997094087e+07,-3.127043019187353019e-03,2.977999999983857924e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+02,1.499999999991238403e+11,1.608119999996926449e+07,-3.186043830208148703e-03,2.977999999983236921e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+02,1.499999999990914001e+11,1.637899999996752478e+07,-3.245044641191644364e-03,2.977999999982604277e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+02,1.499999999990583496e+11,1.667679999996571988e+07,-3.304045452137142642e-03,2.977999999981959991e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+02,1.499999999990247192e+11,1.697459999996384978e+07,-3.363046263043946611e-03,2.977999999981304063e+04,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+02,1.499999999989905090e+11,1.727239999996191263e+07,-3.422047073911359347e-03,2.977999999980636494e+04,0.000000000000000000e+00,0.000000000000000000e+00
