t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
1.800000000000000000e+02,1.499999999998989563e+11,5.360414534916498698e+06,-1.064596515922002938e-03,2.978015299868155853e+04,-3.037513558778998820e-05,8.499846995949547068e-01
1.900000000000000000e+02,1.499999999998877258e+11,5.658216149901763536e+06,-1.123901079164938126e-03,2.978016149852644594e+04,-3.206261563117149445e-05,8.499838495486998768e-01
2.000000000000000000e+02,1.499999999998758850e+11,5.956017849885391071e+06,-1.183222517195409162e-03,2.978016999836271498e+04,-3.375009278083324863e-05,8.499829994999450467e-01
2.100000000000000000e+02,1.499999999998634644e+11,6.253819634867294692e+06,-1.242560829983781548e-03,2.978017849819036564e+04,-3.543756703675842189e-05,8.499821494486899942e-01
2.200000000000000000e+02,1.499999999998504333e+11,6.551621504847388715e+06,-1.301916017500420785e-03,2.978018699800940158e+04,-3.712503839893021586e-05,8.499812993949346085e-01
2.300000000000000000e+02,1.499999999998368225e+11,6.849423459825586528e+06,-1.361288079715691941e-03,2.978019549781981914e+04,-3.881250686733182543e-05,8.499804493386788895e-01
2.400000000000000000e+02,1.499999999998226013e+11,7.147225499801802449e+06,-1.420677016599960303e-03,2.978020399762161833e+04,-4.049997244194647255e-05,8.499795992799235034e-01
2.500000000000000000e+02,1.499999999998078003e+11,7.445027624775950797e+06,-1.480082828123590721e-03,2.978021249741479915e+04,-4.218743512275732499e-05,8.499787492186675619e-01
2.600000000000000000e+02,1.499999999997924194e+11,7.742829834747944027e+06,-1.539505514256948046e-03,2.978022099719936159e+04,-4.387489490974757085e-05,8.499778991549115092e-01
2.700000000000000000e+02,1.499999999997764282e+11,8.040632129717697389e+06,-1.598945074970396698e-03,2.978022949697530930e+04,-4.556235180290042530e-05,8.499770490886551233e-01
2.800000000000000000e+02,1.499999999997598572e+11,8.338434509685123339e+06,-1.658401510234301093e-03,2.978023799674263864e+04,-4.724980580219908323e-05,8.499761990198989592e-01
2.900000000000000000e+02,1.499999999997426758e+11,8.636236974650137126e+06,-1.717874820019025649e-03,2.978024649650134961e+04,-4.893725690762673950e-05,8.499753489486424618e-01
3.000000000000000000e+02,1.499999999997249146e+11,8.934039524612652138e+06,-1.777365004294934351e-03,2.978025499625144221e+04,-5.062470511916658219e-05,8.499744988748857422e-01
3.100000000000000000e+02,1.499999999997065430e+11,9.231842159572580829e+06,-1.836872063032390966e-03,2.978026349599291643e+04,-5.231215043680181973e-05,8.499736487986291333e-01
3.200000000000000000e+02,1.499999999996875916e+11,9.529644879529839382e+06,-1.896395996201759261e-03,2.978027199572577229e+04,-5.399959286051564698e-05,8.499727987198723023e-01
3.300000000000000000e+02,1.499999999996680298e+11,9.827447684484340250e+06,-1.955936803773403003e-03,2.978028049545000977e+04,-5.568703239029125203e-05,8.499719486386152489e-01
3.400000000000000000e+02,1.499999999996478882e+11,1.012525057443599589e+07,-2.015494485717685309e-03,2.978028899516562888e+04,-5.737446902611183653e-05,8.499710985548583064e-01
3.500000000000000000e+02,1.499999999996271362e+11,1.042305354938472249e+07,-2.075069042004969947e-03,2.978029749487263325e+04,-5.906190276796058857e-05,8.499702484686010306e-01
3.600000000000000000e+02,1.499999999996058044e+11,1.072085660933043249e+07,-2.134660472605619599e-03,2.978030599457101926e+04,-6.074933361582070978e-05,8.499693983798437547e-01
3.700000000000000000e+02,1.499999999995838623e+11,1.101865975427304022e+07,-2.194268777489996949e-03,2.978031449426078689e+04,-6.243676156967540181e-05,8.499685482885862564e-01
3.800000000000000000e+02,1.499999999995613098e+11,1.131646298421246000e+07,-2.253893956628465114e-03,2.978032299394193615e+04,-6.412418662950785276e-05,8.499676981948289800e-01
3.900000000000000000e+02,1.499999999995381775e+11,1.161426629914860427e+07,-2.313536009991386342e-03,2.978033149361446704e+04,-6.581160879530129136e-05,8.499668480985714814e-01
4.000000000000000000e+02,1.499999999995144348e+11,1.191206969908138737e+07,-2.373194937549123317e-03,2.978033999327837955e+04,-6.749902806703885828e-05,8.499659979998138715e-01
4.100000000000000000e+02,1.499999999994901123e+11,1.220987318401072361e+07,-2.432870739272038289e-03,2.978034849293367370e+04,-6.918644444470377548e-05,8.499651478985561504e-01
4.200000000000000000e+02,1.499999999994651794e+11,1.250767675393652730e+07,-2.492563415130493072e-03,2.978035699258034947e+04,-7.087385792827926494e-05,8.499642977947984290e-01
4.300000000000000000e+02,1.499999999994396667e+11,1.280548040885871090e+07,-2.552272965094849484e-03,2.978036549221840687e+04,-7.256126851774848086e-05,8.499634476885407075e-01
4.400000000000000000e+02,1.499999999994135437e+11,1.310328414877718873e+07,-2.611999389135469772e-03,2.978037399184784590e+04,-7.424867621309464523e-05,8.499625975797828747e-01
4.500000000000000000e+02,1.499999999993868408e+11,1.340108797369187512e+07,-2.671742687222714886e-03,2.978038249146866656e+04,-7.593608101430095289e-05,8.499617474685252638e-01
4.600000000000000000e+02,1.499999999993595276e+11,1.369889188360268436e+07,-2.731502859326946642e-03,2.978039099108086884e+04,-7.762348292135061228e-05,8.499608973547673196e-01
4.700000000000000000e+02,1.499999999993316040e+11,1.399669587850952893e+07,-2.791279905418525987e-03,2.978039949068445276e+04,-7.931088193422680471e-05,8.499600472385093752e-01
4.800000000000000000e+02,1.499999999993031006e+11,1.429449995841232315e+07,-2.851073825467813870e-03,2.978040799027941830e+04,-8.099827805291269793e-05,8.499591971197514306e-01
4.900000000000000000e+02,1.499999999992739868e+11,1.459230412331098132e+07,-2.910884619445171240e-03,2.978041648986576547e+04,-8.268567127739155458e-05,8.499583469984937079e-01
5.000000000000000000e+02,1.499999999992442932e+11,1.489010837320541590e+07,-2.970712287320959044e-03,2.978042498944349427e+04,-8.437306160764651531e-05,8.499574968747355408e-01
5.100000000000000000e+02,1.499999999992139893e+11,1.518791270809554122e+07,-3.030556829065537798e-03,2.978043348901260470e+04,-8.606044904366080210e-05,8.499566467484777066e-01
5.200000000000000000e+02,1.499999999991830750e+11,1.548571712798127159e+07,-3.090418244649267582e-03,2.978044198857309675e+04,-8.774783358541762336e-05,8.499557966197196501e-01
5.300000000000000000e+02,1.499999999991515808e+11,1.578352163286252134e+07,-3.150296534042508912e-03,2.978045048812497043e+04,-8.943521523290014685e-05,8.499549464884617045e-01
5.400000000000000000e+02,1.499999999991194763e+11,1.608132622273920290e+07,-3.210191697215621434e-03,2.978045898766822575e+04,-9.112259398609158100e-05,8.499540963547037586e-01
5.500000000000000000e+02,1.499999999990867615e+11,1.637913089761123061e+07,-3.270103734138965230e-03,2.978046748720286269e+04,-9.280996984497514777e-05,8.499532462184460346e-01
5.600000000000000000e+02,1.499999999990534668e+11,1.667693565747851878e+07,-3.330032644782900380e-03,2.978047598672888125e+04,-9.449734280953400137e-05,8.499523960796879773e-01
5.700000000000000000e+02,1.499999999990195618e+11,1.697474050234097987e+07,-3.389978429117785665e-03,2.978048448624628145e+04,-9.618471287975139089e-05,8.499515459384303639e-01
5.800000000000000000e+02,1.499999999989850769e+11,1.727254543219853193e+07,-3.449941087113981165e-03,2.978049298575506327e+04,-9.787208005561045697e-05,8.499506957946726393e-01
5.900000000000000000e+02,1.499999999989499817e+11,1.757035044705108553e+07,-3.509920618741845660e-03,2.978050148525522673e+04,-9.955944433709444869e-05,8.499498456484148035e-01
6.000000000000000000e+02,1.499999999989142761e+11,1.786815554689855501e+07,-3.569917023971738365e-03,2.978050998474677181e+04,-1.012468057241865474e-04,8.499489954996573005e-01
6.100000000000000000e+02,1.499999999988779907e+11,1.816596073174085096e+07,-3.629930302774018059e-03,2.978051848422969852e+04,-1.029341642168699072e-04,8.499481453483995752e-01
6.200000000000000000e+02,1.499999999988410950e+11,1.846376600157789141e+07,-3.689960455119043088e-03,2.978052698370400685e+04,-1.046215198151277908e-04,8.499472951946420718e-01
6.300000000000000000e+02,1.499999999988035889e+11,1.876157135640958697e+07,-3.750007480977172233e-03,2.978053548316969682e+04,-1.063088725189433389e-04,8.499464450383845682e-01
6.400000000000000000e+02,1.499999999987655029e+11,1.905937679623585567e+07,-3.810071380318763839e-03,2.978054398262676841e+04,-1.079962223282997734e-04,8.499455948796271754e-01
6.500000000000000000e+02,1.499999999987268066e+11,1.935718232105660811e+07,-3.870152153114176253e-03,2.978055248207522163e+04,-1.096835692431803434e-04,8.499447447183700044e-01
6.600000000000000000e+02,1.499999999986875000e+11,1.965498793087175861e+07,-3.930249799333767821e-03,2.978056098151505648e+04,-1.113709132635681761e-04,8.499438945546129442e-01
6.700000000000000000e+02,1.499999999986475830e+11,1.995279362568122149e+07,-3.990364318947895589e-03,2.978056948094626932e+04,-1.130582543894465203e-04,8.499430443883557729e-01
6.800000000000000000e+02,1.499999999986070862e+11,2.025059940548491105e+07,-4.050495711926917902e-03,2.978057798036886379e+04,-1.147455926207985034e-04,8.499421942195987123e-01
6.900000000000000000e+02,1.499999999985659790e+11,2.054840527028273791e+07,-4.110643978241191807e-03,2.978058647978283989e+04,-1.164329279576074285e-04,8.499413440483419846e-01
7.000000000000000000e+02,1.499999999985242615e+11,2.084621122007462010e+07,-4.170809117861074347e-03,2.978059497918819761e+04,-1.181202603998563686e-04,8.499404938745851457e-01
