t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
1.200000000000000000e+02,1.499999999999625244e+11,3.573606606909736060e+06,1.104072319297489052e-03,2.978010163164281039e+04,5.135933308084102145e-02,8.484469452508455189e-01
1.300000000000000000e+02,1.499999999999781189e+11,3.871407708070844412e+06,1.558664838156101785e-03,2.978011011611085632e+04,7.171300893199857029e-02,8.469694471171431704e-01
1.400000000000000000e+02,1.500000000000002747e+11,4.169208893928882666e+06,2.216794115535022751e-03,2.978011858580380431e+04,-1.298384534144361897e-02,8.499008293678443904e-01
1.500000000000000000e+02,1.500000000000205688e+11,4.467010164776987396e+06,2.027954850188958078e-03,2.978012708481045775e+04,-6.239466483422115295e-02,8.477068513349560464e-01
1.600000000000000000e+02,1.500000000000340271e+11,4.764811520395759493e+06,1.345007389925250135e-03,2.978013556187721406e+04,8.233316915694692539e-02,8.460031023918137549e-01
1.700000000000000000e+02,1.500000000000551147e+11,5.062612960614822805e+06,2.109338269584047458e-03,2.978014402190636247e+04,2.888723684833915603e-02,8.495089920343796841e-01
1.800000000000000000e+02,1.500000000000785217e+11,5.360414485784765333e+06,2.339209826168295314e-03,2.978015251699429064e+04,1.107177338232682717e-01,8.427583185095474105e-01
1.900000000000000000e+02,1.500000000001123962e+11,5.658216095230518840e+06,3.387386352514062254e-03,2.978016094457536747e+04,-6.633043115387932120e-02,8.474079737074350360e-01
2.000000000000000000e+02,1.500000000001390381e+11,5.956017789417047985e+06,2.665081229101286253e-03,2.978016941865288027e+04,1.145490709793626910e-01,8.422461103132296012e-01
2.100000000000000000e+02,1.500000000001765442e+11,6.253819567828164436e+06,3.751571127034556037e-03,2.978017784111163928e+04,-8.408343864553144420e-02,8.458309378034971626e-01
2.200000000000000000e+02,1.500000000002050476e+11,6.551621430822350085e+06,2.851735928733216408e-03,2.978018629941855761e+04,8.410628932035080219e-02,8.458286659228106963e-01
2.300000000000000000e+02,1.500000000002413940e+11,6.849423378399376757e+06,3.633798010105721531e-03,2.978019475770264035e+04,-4.138656701614652073e-02,8.489918445253864521e-01
