t, pos_x, pos_y, vel_x, vel_y, thrust_x, thrust_y
1.900000000000000000e+02,1.499999999998877258e+11,5.658216149998662993e+06,-1.123901114754868435e-03,2.978016149997993489e+04,-3.206322482720492975e-05,8.499999993952643829e-01
2.000000000000000000e+02,1.499999999998758850e+11,5.956017849998439662e+06,-1.183222558877299740e-03,2.978016999997770472e+04,-3.375076779007953460e-05,8.499999993299327539e-01
2.100000000000000000e+02,1.499999999998634644e+11,6.253819634998193011e+06,-1.242560878415764581e-03,2.978017849997535450e+04,-3.543831123422198351e-05,8.499999992612508048e-01
2.200000000000000000e+02,1.499999999998504333e+11,6.551621504997922108e+06,-1.301916073374378372e-03,2.978018699997288786e+04,-3.712585515961234746e-05,8.499999991892183138e-01
2.300000000000000000e+02,1.499999999998368225e+11,6.849423459997625090e+06,-1.361288143757256527e-03,2.978019549997030117e+04,-3.881339956623065004e-05,8.499999991138351696e-01
2.400000000000000000e+02,1.499999999998226013e+11,7.147225499997301027e+06,-1.420677089568513811e-03,2.978020399996759807e+04,-4.050094445405698937e-05,8.499999990351022605e-01
2.500000000000000000e+02,1.499999999998078003e+11,7.445027624996948987e+06,-1.480082910812265421e-03,2.978021249996477854e+04,-4.218848982307139579e-05,8.499999989530185873e-01
2.600000000000000000e+02,1.499999999997924194e+11,7.742829834996567108e+06,-1.539505607492625905e-03,2.978022099996183897e+04,-4.387603567325392675e-05,8.499999988675844831e-01
2.700000000000000000e+02,1.499999999997764282e+11,8.040632129996154457e+06,-1.598945179613709593e-03,2.978022949995878298e+04,-4.556358200458465328e-05,8.499999987787999478e-01
2.800000000000000000e+02,1.499999999997598572e+11,8.338434509995710105e+06,-1.658401627179630815e-03,2.978023799995560694e+04,-4.725112881704363282e-05,8.499999986866653146e-01
2.900000000000000000e+02,1.499999999997426758e+11,8.636236974995233119e+06,-1.717874950194503685e-03,2.978024649995231448e+04,-4.893867611061092284e-05,8.499999985911800282e-01
3.000000000000000000e+02,1.499999999997249146e+11,8.934039524994721636e+06,-1.777365148662442100e-03,2.978025499994890197e+04,-5.062622388526656723e-05,8.499999984923443108e-01
3.100000000000000000e+02,1.499999999997065430e+11,9.231842159994175658e+06,-1.836872222587559739e-03,2.978026349994537304e+04,-5.231377214099064378e-05,8.499999983901583844e-01
3.200000000000000000e+02,1.499999999996875916e+11,9.529644879993593320e+06,-1.896396171973970066e-03,2.978027199994172406e+04,-5.400132087776320317e-05,8.499999982846220270e-01
3.300000000000000000e+02,1.499999999996680298e+11,9.827447684992972761e+06,-1.955936996825786110e-03,2.978028049993795867e+04,-5.568887009556429608e-05,8.499999981757351275e-01
3.400000000000000000e+02,1.499999999996478882e+11,1.012525057499231398e+07,-2.015494697147121334e-03,2.978028899993407322e+04,-5.737641979437400707e-05,8.499999980634980190e-01
