name,agent_ret,expert_ret,agent_r_err,expert_r_err,agent_v_err,expert_v_err,agent_align,expert_align,agent_fuel,expert_fuel,agent_success,expert_success,agent_steps,expert_steps
fixed_3,1206.9534097001062,-34684.705424089734,0.013301346578875,4.000695202238429,0.008005888111754705,0.9922849689319841,0.9985118222271481,0.38873815626568464,1429415.8695476456,19923840.0,1,0,10895,20754
random_15,-1727.964677809683,-763622.5228257023,0.1524092310851387,4.008198523266973,0.149315997140245,692.8568333694554,0.9894289389824156,0.12711742444243201,784121.1627831064,2172382772.5870852,0,0,30000,1876
random_7,231.0349141508628,-131562.13153324625,0.00510797662497155,4.0187494819763785,0.028518226320062925,44.72212612936981,0.9995162848621595,0.16911134008765039,675641.4411454224,621257474.6308675,1,0,2242,593
