branch_id,recovery_step,total_transition_count,current_state_hash,next_state_hash,action,action_magnitude,final_veto_decision,predicted_speed_ratio,realized_speed_ratio,overspeed_headroom,radius,target_radius_error,radial_velocity,tangential_velocity,recovery_evaluator_status,stop_condition
velocity_opposed_thrust_v0,2500,2527,81c978bc8a9b62bc99228bb5735031910713f14a9c4691b8119da8efe01f07ed,0d246bacbce67daff99d49a723fcb0dcdedd6c3eadb30a1fca4b0659db82a951,"[-0.15862098678983708,0.1932340098166426]",0.25,allow,0.0469129611864902,0.0469129611864902,1.8530870388135097,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
velocity_opposed_thrust_v0,5000,5027,1241c057b7668016288621d597bc87f6f9c8d6ac7a3479b2529f4f572c7ff909,d80bae805ccd67080d708f24b9109de5304975c6355a3b1a251a8712e99bbffb,"[-0.15834062345839622,0.19346381305765267]",0.25,allow,0.046800029497582614,0.046800029497582614,1.8531999705024174,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
velocity_opposed_thrust_v0,7500,7527,0be12937b5d197cd00b5eb92aceb3501be80e2d00efed3487cfac1f8560e1d87,b67045ec081738088a977e6279034d0746a6cbda6099f21dd2a46dbf9986cdea,"[-0.15806367279775188,0.1936901529290667]",0.25,allow,0.04668696483174276,0.04668696483174276,1.8533130351682572,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
velocity_opposed_thrust_v0,10000,10027,a43b13d189f61d71d54e01fe269024fba6cca633381724d47f7cc0c8eece2004,11604a3032ba96f9ec2f57c075ecc3f169cf38aaf1647cfecd88d064dd270115,"[-0.15779010430194534,0.1939130810037869]",0.25,allow,0.04657376919665,0.04657376919665,1.85342623080335,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,recovery_horizon_exhausted
tangential_error_correction_v0,1,28,636847a9a1972cb5d07a8434778c7bae883a0ee591b43dc34082650d34b8ecc1,9eb96d838090990878a41f4e5325987a25348b9ac3f788fe742f26f77e559662,"[0.24999999999963954,4.245380780436667e-07]",0.25,allow,1.8494516264933416,1.8494516264933416,0.050548373506658306,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,10,37,ef14ab15ac7339df4266835319fbe70d80390b6f422a4fdfd5527dc1a272eee8,20a0990a6128e083f520900f8f32d48e236dd050e592b5e1d6ca5b44ef260d4a,"[0.24999999999938646,5.538627759713553e-07]",0.25,allow,1.7351580917259861,1.7351580917259861,0.1648419082740138,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,100,127,2c010da6c0e46d91ed937161e9a7d9e59cbd14caa5f4fa58831b90daf76d698a,397c6a264ee03c76dd452d276bebade9c15ae507ccdb260a3eae234288f81bff,"[0.24999999999348613,1.8047002436788687e-06]",0.25,allow,1.7351538131572508,1.7351538131572508,0.1648461868427491,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,1000,1027,af95553546399f498ecbd8d2bf2be0dfcf02a8d7ab7def097f17f81e522e262b,fa4ef7d9f8631057f1d37907d98d3152768d57eb4c85f6b5303610f4d49e6d12,"[0.24999999959033098,1.4312040420961772e-05]",0.24999999999999997,allow,1.7351110304933717,1.7351110304933717,0.16488896950662824,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,2500,2527,75a22c0660e85169359af9ca5d34d882409215b0126f67f8d19790648348c2c4,0f9bc9a089c84d5e33e951e89e1eac1fd993876651935f89542c8ddb9e5b4808,"[0.24999999752847293,3.515342840153109e-05]",0.25,allow,1.7350397382675864,1.7350397382675864,0.16496026173241352,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,5000,5027,72ecc4ba470f481bc89cba165930ed6b27e3187798b6c27ba17ab5e25f2df62e,6411761038fcddd5493a7bad5a14d9d18da7ea5c870625e8eb22e2b12965723e,"[0.24999999023427782,6.987747121031005e-05]",0.24999999999999997,allow,1.7349209518078017,1.7349209518078017,0.1650790481921982,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,7500,7527,6a0a5ace12cab2e97f946abf3e6634fe618983adfea5080e82fb8ee0c8240ecb,d3ae804f9f86b37cdab28d80e39374e463ee0777f87d8cac9949440f55486d46,"[0.24999997812311095,0.0001045870166232628]",0.25,allow,1.7348022077249805,1.7348022077249805,0.1651977922750194,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,none
tangential_error_correction_v0,10000,10027,60297d71c0cdeaaa34abd593d112d10392d1e76eee01b6607b0bf3b6f8a0b29c,2fa3c4fa80fe7e6543e3d0f10d22b23432fb1dcd6108235bc986464be03bbc11,"[0.24999996120100518,0.0001392820731574691]",0.25,allow,1.7346835059975385,1.7346835059975385,0.1653164940024614,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,recovery_horizon_exhausted
explicit_abort_v0,0,27,636847a9a1972cb5d07a8434778c7bae883a0ee591b43dc34082650d34b8ecc1,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_applicable,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,not_available_in_published_artifacts,clear,explicit_abort
