phase,controller_name,state_type,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,r_error_ratio,vr_ratio,vt_error_ratio,energy_error_ratio,angular_momentum_error_ratio,crossing_direction,overspeed,handoff_entered,capture_entered,success,recoverable_original,distance_to_recoverable,dominant_failure_variable,failure_cluster,source_note
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=170|thrust=10000|target=1,0.98,170.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=170|thrust=10000|target=1,1.0,170.0,10000.0,1.0,-5.782188541666666e-09,-0.1492219516037754,-0.7309675543558039,-0.9053543523502632,-0.7309675543558037,inbound,False,True,True,True,False,8.013550658069029,radial_velocity,radius_close_but_vr_bad,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=10000|target=1,0.98,175.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=175|thrust=10000|target=1,0.98,175.0,10000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=175|thrust=10000|target=1,1.0,175.0,10000.0,1.0,-5.35978515625e-10,-0.017960415068522723,-0.7254159010011462,-0.924280996067554,-0.7254159010011462,inbound,False,True,True,True,False,3.037448426622083,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=12000|target=1,0.98,150.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=150|thrust=12000|target=1,0.98,150.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,radius_crossing,r0=1|angle=150|thrust=12000|target=1,1.0,150.0,12000.0,1.0,-4.908390625e-10,-0.019133667779626447,-0.7252791884998071,-0.9241623784859745,-0.7252791884998071,inbound,False,True,True,True,False,3.0547866581952734,tangential_velocity,energy_mismatch,crossing state reconstructed from crossing vr/vt/r fields
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=12000|target=1,0.98,165.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
phase22,phase22_two_burn_transfer,insertion_window_uninstrumented,r0=0.98|angle=165|thrust=12000|target=1,0.98,165.0,12000.0,1.0,,,,,,,False,True,False,False,False,,radius,uninstrumented_window,prior phase recorded insertion-window count but not state geometry
