name,ret,r_err,v_err,align,steps,violation,rt,e,mass,thrust,seed
fixed_3,-1685.2646017726186,0.011508015035773438,0.016868348618215304,0.9936165183122184,20681,0.0,500000000000.0,0.05,720.0,0.4,-1
random_7,-805.0957848697117,0.006497253113845916,0.018190708887503695,0.9863956406100141,3339,0.0,361239700959.1134,0.21579368902590268,720.0,123.46694018390126,-1
random_15,-670.4058475349822,0.13624922713193444,0.1069343285351122,0.9824307463875277,30000,0.0,4868855537837.845,0.36637721804762013,600.0,137.34194306225976,-1
