controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_transfer_stage,transfer_stage_counts_json,intercept_classification_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,max_speed_ratio,overspeed,turning_point_count,burn_a_steps,burn_b_steps,coast_arc_steps,safe_coast_steps,burn_a_count,burn_b_count,insertion_attempts,insertion_windows,successful_insertion_windows,handoff_ready_count,handoff_entered,handoff_rate,predicted_crossing_step,burn_b_solver_evals,burn_b_solver_score,insertion_window_conversion_rate,chosen_burn_timing,chosen_burn_angle_deg,chosen_burn_magnitude,chosen_burn_duration,chosen_insertion_mode,pre_burn_state_json,post_burn_state_json,basin_score,handoff_success,controller_variant,sync_strategy,initial_vt_error_ratio,final_vt_error_ratio,min_abs_vt_error_ratio,mean_abs_vt_error_ratio,best_vt_error_before_crossing,best_vt_band,best_vt_band_rank,crossing_vt_band,min_distance_to_recoverable,mean_distance_to_recoverable,pre_burn_vt_error_ratio,post_burn_vt_error_ratio,pre_post_burn_vt_correction,vt_improvement_burn_a_to_b,sync_error_at_crossing,best_sync_error,best_pre_cross_sync_window,best_sync_band,best_sync_band_rank,crossing_sync_band,predicted_crossing_step_at_burn,actual_crossing_step,timing_offset_steps,predicted_crossing_vt_error_ratio,actual_crossing_vt_error_ratio,predicted_crossing_sync_error,sync_burn_steps,sync_hold_steps,sync_stage_counts_json,instability
baseline_soft_linear_3e4,1.02,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000053096.0664,150536104992.708,111.37700734995084,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9210336064720429,-0.024895023050582443,-0.8050606944276244,,,0.7267794353881043,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,170.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000052055.19434,375413005576.19336,106.21192603449481,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.047619047619047436,0.8704869632104021,-0.038926041995105076,-0.8185805588806532,,,0.7125319658873277,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149577689612.25488,149577692213.9873,77.16213217288069,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306287,0.9925704599681217,0.006308609146797872,-0.7827966042172912,,,0.746784441235641,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,175.0,8000.0,1.0,True,True,True,True,-31.058008674702325,-3664.12991433049,-0.0073821690331051645,-0.8709259717889519,-762.443359375,False,0.7055993803725469,0.02761116937756757,False,1,8,596.3916015625,607.4658203125,3.3645032623345292,230,True,False,success,soft_window,"{""soft_window"": 8}",{},2.104654818683916e-16,1.6197255112205923e-10,-0.003805301908254566,7.549516567451064e-15,,,1.0000000000000075,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4837038871558077,3.4837038871558077,3.4837038871558077,outside_3x,0,outside_3x,,8,,,-0.8709259717889519,,,,,
baseline_soft_linear_3e4,1.02,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000026649.43555,150291319592.0088,63.938993763791515,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9209113934878578,-0.013620267358068205,-0.8018546995418536,,,0.7267794400515416,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,175.0,8000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000026127.00977,375219241696.8496,58.60010511204866,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.8703714348681936,-0.02781352146132343,-0.8157451983995561,,,0.7125319702880899,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999778030.68164,152717567891.542,276.7142706168291,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.0411755465057324,-0.12518223472029355,-0.9817418246862821,,,0.680942392565535,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,150.0,10000.0,1.0,True,True,True,True,-56.806558896857226,-3462.776521423222,-0.013502334433540864,-0.823066342493355,-3817.8857421875,False,0.6746558758239845,0.02052503083453011,False,1,1711,693.05859375,2453.6474609375,78.06700913583241,1927,True,False,success,soft_window,"{""soft_window"": 1711}",{},0.0,6.542913016537822e-10,-0.1339745962155613,5.995204332975845e-15,,,1.0000000000000058,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29226536997342,3.29226536997342,3.29226536997342,outside_3x,0,outside_3x,,1711,,,-0.823066342493355,,,,,
baseline_soft_linear_3e4,1.02,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149198751325.39844,150544096287.76855,404.36645734775647,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9606361979700722,-0.14250707428745557,-0.9976396603491355,,,0.6609373932356164,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,150.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000136036.57227,378620323407.8428,432.52942857508054,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.9036729146570972,-0.15484574527148331,-0.9886120022056073,,,0.6466899247259618,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
