schema_version,benchmark_id,benchmark_version,experiment_id,experiment_status,implementation_commit,run_id,paired_run_id,case_config_hash,run_config_hash,subset_id,case_id,arm_id,seed,controller_id,controller_family,artifact_path,source_script,monitor_enabled,monitor_id,hazard_target,hazard_threshold,hazard_comparator,r0_over_target,initial_velocity_angle_deg,thrust_scale,crossed_target_radius,first_crossing_step,recoverable_crossing,final_simulator_success,overspeed,max_speed_ratio,instability,unsafe_state,invalid_simulation,terminal_label,precursor_labels,diagnostic_labels,manual_audit_note,label_taxonomy_version,is_full_benchmark,subset_claim_scope,regression_set_membership,known_phase34_recoverable_case,monitor_evaluation_count,allow_count,veto_count,fallback_count,false_negative_count,fallback_failure_count,invalid_monitor_evaluation_count,nominal_actions_unchanged_count,steps,accepted_as_progress,acceptance_reason,is_formal_experiment,termination_reason,decision_stream_event_count,decision_stream_sha256,compact_decision_record_count,decision_log_mode,intervention_rate,allow_rate,fallback_rate,first_veto_step,last_veto_step,longest_consecutive_veto_steps,longest_consecutive_allow_steps,veto_segment_count,allow_segment_count
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0,2e395acd6725c050664efa46569fca27c31cce5f7cc5199ddd1103c18ccda9b8,9b4dfa841a98ce2bb25e8733ebc57ca6149d4ef80933ac17b987476dcdcdbc50,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000,monitor_off,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,false,,overspeed,1.9,>,1.0,165.0,10000.0,true,389,true,true,false,1.0000000000000056,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,0,0,0,0,0,0,0,661,661,false,raw formal arm requires paired and aggregate validation,true,success,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,compact,0.0,0.0,0.0,,,0,0,0,0
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0__monitor_on,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000__seed_0,2e395acd6725c050664efa46569fca27c31cce5f7cc5199ddd1103c18ccda9b8,6059659817ac5f960305067c496d56a7798a8bcd0580ecb64dc8f5c665c1d55e,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_165__thrust_10000,monitor_on,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,true,one_step_overspeed_veto_v0,overspeed,1.9,>,1.0,165.0,10000.0,true,389,true,true,false,1.0000000000000056,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,661,661,0,0,0,0,0,661,661,false,raw formal arm requires paired and aggregate validation,true,success,661,4482e5f96969eb7e557b13859b5af6604bf2f6d42fde4a9fccd8c4941d34d9bd,5,compact,0.0,1.0,0.0,,,0,661,0,4
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0,31cc944ca65b2b4c3e28d374cb6380b6c79ecfd70965f246534d4681c91be389,233fdfcaf9213daa69336a651c29fcbb86f657902d08bc5126baa2301e9c2b3b,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000,monitor_off,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,false,,overspeed,1.9,>,1.0,170.0,10000.0,true,248,true,true,false,1.0000000000000058,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,0,0,0,0,0,0,0,551,551,false,raw formal arm requires paired and aggregate validation,true,success,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,compact,0.0,0.0,0.0,,,0,0,0,0
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0__monitor_on,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000__seed_0,31cc944ca65b2b4c3e28d374cb6380b6c79ecfd70965f246534d4681c91be389,2868ea80e203f11bf8c950199e8c7733504fc198c5a82c89eb89a47afb1b087d,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_170__thrust_10000,monitor_on,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,true,one_step_overspeed_veto_v0,overspeed,1.9,>,1.0,170.0,10000.0,true,248,true,true,false,1.0000000000000058,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,551,551,0,0,0,0,0,551,551,false,raw formal arm requires paired and aggregate validation,true,success,551,423e327222a80750629a6e3155744edec5159f4d8e5accaa443d90d79ec18975,5,compact,0.0,1.0,0.0,,,0,551,0,4
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0__monitor_off,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0,4ea2c0f823cfb746270840ee250dd49156ee8c784c571f665581273c48060501,9431cfd549a2901bbea2aacc9867244c525114ec9ecff064ba52b2203e44a7a0,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000,monitor_off,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,false,,overspeed,1.9,>,1.0,175.0,10000.0,true,182,true,true,false,1.0000000000000058,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,0,0,0,0,0,0,0,484,484,false,raw formal arm requires paired and aggregate validation,true,success,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,compact,0.0,0.0,0.0,,,0,0,0,0
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0__monitor_on,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000__seed_0,4ea2c0f823cfb746270840ee250dd49156ee8c784c571f665581273c48060501,ebffa3b311052545b14fb0304918abb88800206e05fb44de0977571dbc074e5a,phase34_known_recoverable_preservation_v1,phase34_known_recoverable_preservation_v1__r0_1p00__angle_175__thrust_10000,monitor_on,0,phase34_post_cross_sync,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,true,one_step_overspeed_veto_v0,overspeed,1.9,>,1.0,175.0,10000.0,true,182,true,true,false,1.0000000000000058,false,false,false,success,"[""target_radius_crossing""]",[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,protected_preservation_set,"[""known_phase34_recoverable_preservation""]",true,484,484,0,0,0,0,0,484,484,false,raw formal arm requires paired and aggregate validation,true,success,484,6963a501a0f1ee224904b07d27510a8fe137be5349d89470d94afe4e99223ab3,5,compact,0.0,1.0,0.0,,,0,484,0,4
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0__monitor_off,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0,0d1031e82b150ea7ed4f3f5fe494855418ef960bebc89b85bd7c9dbb97dfab12,b0dee9d263fcf16c0c451aab86c8d637ca489e802ddd232ce184fdb333e72251,phase35_radial_energy_push_overspeed_stress_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,monitor_off,0,phase35_crossing_basin_expansion,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,false,,overspeed,1.9,>,0.98,150.0,8000.0,false,,false,false,true,1.9183887199363643,false,false,false,overspeed,[],[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,diagnostic_stress_set,"[""diagnostic_stress""]",false,0,0,0,0,0,0,0,28,28,false,raw formal arm requires paired and aggregate validation,true,overspeed,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,compact,0.0,0.0,0.0,,,0,0,0,0
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0__monitor_on,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000__seed_0,0d1031e82b150ea7ed4f3f5fe494855418ef960bebc89b85bd7c9dbb97dfab12,1890250e4a3a55d7f77d048c28219fb6a1e290fbc818b6fc1b099fe7b7fd66b7,phase35_radial_energy_push_overspeed_stress_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_8000,monitor_on,0,phase35_crossing_basin_expansion,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,true,one_step_overspeed_veto_v0,overspeed,1.9,>,0.98,150.0,8000.0,false,,false,false,false,1.8906024454524528,false,false,false,no_crossing,[],[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,diagnostic_stress_set,"[""diagnostic_stress""]",false,100000,27,99973,99973,0,0,0,27,100000,false,raw formal arm requires paired and aggregate validation,true,max_steps,100000,26c2a6b1730a993b3965140e318642ab0e103b7745598d024d465e5d8ce0ab97,3,compact,0.99973,0.00027,0.99973,28,100000,99973,27,1,1
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0__monitor_off,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0,5e5432c17487ede8ba35fb0d2841e3bc4577d156bc000c5b0d29dac4cc4b0ef9,15675e5784dadd5f89fe91ebd94a1d67685c2204ccf4f0ad8f9fc9f4a12f3bb9,phase35_radial_energy_push_overspeed_stress_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000,monitor_off,0,phase35_crossing_basin_expansion,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,false,,overspeed,1.9,>,0.98,150.0,10000.0,false,,false,false,true,1.9126848034791675,false,false,false,overspeed,[],[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,diagnostic_stress_set,"[""diagnostic_stress""]",false,0,0,0,0,0,0,0,22,22,false,raw formal arm requires paired and aggregate validation,true,overspeed,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,compact,0.0,0.0,0.0,,,0,0,0,0
result_schema_v1,recoverability_benchmark,v1,final_veto_overspeed_ablation_v0,formal_executed_pending_validation,789e35b5be89d9d0a74c045c725dcea55af22b82,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0__monitor_on,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000__seed_0,5e5432c17487ede8ba35fb0d2841e3bc4577d156bc000c5b0d29dac4cc4b0ef9,b0790deb339c8e38dfa8095a5f76f83892b425c2023abcd58481aaa0babdf2ab,phase35_radial_energy_push_overspeed_stress_v0,phase35_radial_energy_push_overspeed_stress_v0__r0_0p98__angle_150__thrust_10000,monitor_on,0,phase35_crossing_basin_expansion,explicit_controller,analysis/final_veto_ablation_v0/results.csv,scripts/run_final_veto_ablation.py,true,one_step_overspeed_veto_v0,overspeed,1.9,>,0.98,150.0,10000.0,false,,false,false,false,1.8783279728150262,false,false,false,no_crossing,[],[],Raw formal arm row; pair-level acceptance has not been evaluated.,failure_label_taxonomy_v0,false,diagnostic_stress_set,"[""diagnostic_stress""]",false,100000,21,99979,99979,0,0,0,21,100000,false,raw formal arm requires paired and aggregate validation,true,max_steps,100000,741ca67caf0362aa50ee93e882d38da5dcb0a25ab3e5acf0cc7801114e578f1e,3,compact,0.99979,0.00021,0.99979,22,100000,99979,21,1,1
