controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
zero,fixed_1,0.0,-209.83882795311075,30000,0.16039799629146886,0.09197209852746341,0.9999773278288603,0.0,0,False,1,0,3611187472722.4976,0.06889945233000465,600.0,137.51675388895146
zero,fixed_2,0.0,-5790.021224910861,30000,0.49563592658415917,0.586420676926076,0.9999192081323784,0.0,0,False,1,0,1103497810893.7246,0.24153673880253185,1000.0,110.16239712723394
zero,fixed_3,0.0,214.28749691984277,30000,0.2528015738331524,0.12060109864651107,0.969789611385228,0.0,0,False,1,0,1679538088256.4734,0.006280187128132608,720.0,142.89450322705625
zero,fixed_4,0.0,-1675.5031372328276,30000,0.020780144896703948,0.14780075649967567,0.9995531857643488,0.0,0,False,1,0,577620128702.5442,0.14287573506837878,1000.0,119.47459595524558
zero,fixed_5,1.0,415.8108269881107,3592,0.014310477467326093,0.001990842067245086,0.9987097086804851,0.0,0,True,0,0,237418598255.80325,0.10268232408752885,600.0,133.03957787420927
zero,random_1,0.0,-2661.292867059879,30000,0.33511484724662166,0.25433365936773,0.9870772863387408,0.0,0,False,1,0,1457975683958.145,0.1880216301978353,1000.0,132.08127682310402
zero,random_2,0.0,2893.9666318143118,30000,0.04837507908335437,0.027215878104637065,0.998728252116848,0.0,0,False,1,0,1413424573887.733,0.2625698437171548,600.0,125.32786143093742
zero,random_3,1.0,1644.7442092359477,12361,0.01731527427814218,0.0086055791447347,0.9988300248033161,0.0,0,True,0,0,703622315928.3362,0.08148980571167419,720.0,148.10742252765067
zero,random_4,0.0,-408.01377813651754,30000,0.14312851221867692,0.14178453195935886,0.9972193446131659,0.0,0,False,1,0,5991267557469.553,0.3842844910122303,1000.0,107.56282478476281
zero,random_5,0.0,-9780.457886700675,30000,0.15879686629873513,0.15467350324159804,0.9871500928448187,0.0,0,False,1,0,388382362441.1293,0.3524635688352662,720.0,149.9207188789868
zero,random_6,0.0,-988.7085571550826,30000,0.2765122989725242,0.12637059105209744,0.9769337209416676,0.0,0,False,1,0,1907243014954.6758,0.11636251159890768,1000.0,133.13937702870956
zero,random_7,0.0,4454.124297592306,30000,0.035711322390052196,0.02901154339541246,0.9999718237420856,0.0,0,False,1,0,2725800108139.789,0.1935483591218101,1000.0,144.86317551354398
zero,random_8,0.0,-2069.379101703899,30000,0.18306767372250118,0.16980459822048136,0.9998188168632942,0.0,0,False,1,0,5545653511434.03,0.22362864842975358,600.0,117.90989177941147
zero,random_9,0.0,4067.1978016287576,30000,0.04456736110568557,0.04047498350389282,0.9999965269001861,0.0,0,False,1,0,3309358096881.051,0.19291785443316437,600.0,133.0196664764633
zero,random_10,0.0,2291.0484029302665,30000,0.10920887998758684,0.029939170851444437,0.9998083225721538,0.0,0,False,1,0,6170424186431.492,0.27438081156058747,720.0,100.71968679603856
zero,random_11,0.0,-3801.397504353141,30000,0.2595287682278459,0.1691768511050237,0.9862982637790554,0.0,0,False,1,0,265408917953.67142,0.24058251617357215,1000.0,121.37357825518663
zero,random_12,0.0,125.29780005121269,30000,0.24264824153662318,0.14719515422212442,0.9976019745501604,0.0,0,False,1,0,306889825861.0888,0.23372775537495577,1000.0,112.03970657569957
zero,random_13,0.0,4270.597609094674,30000,0.04509761169013128,0.024186133859955487,0.9999983891769555,0.0,0,False,1,0,3126079380354.77,0.10075919270722111,1000.0,111.85874537163048
zero,random_14,0.0,3090.1438063720084,30000,0.08635063722148088,0.04296831614650299,0.9994290407201651,0.0,0,False,1,0,298976868384.5676,0.02928940937410416,600.0,114.29392622613796
zero,random_15,0.0,4069.3884164599485,30000,0.08182269639055745,0.052661872836214665,0.9999980596032123,0.0,0,False,1,0,348553105325.4543,0.10473042220161584,1000.0,147.00658030961029
zero,random_16,0.0,-349.0227538819539,30000,0.19818157039592604,0.028140693783578967,0.9997298132700253,0.0,0,False,1,0,6873343620547.339,0.28570029109169875,720.0,126.34165130393887
zero,random_17,0.0,-3267.0580125701667,30000,0.3438407148289248,0.31213136232353555,0.9999402938708686,0.0,0,False,1,0,1018930140980.4266,0.08895804914194567,600.0,148.36396091779847
zero,random_18,0.0,116.2879804375389,30000,0.18033947674036066,0.032367225980354256,0.9998004249450643,0.0,0,False,1,0,8597609192009.978,0.13587035216977653,720.0,120.17175392520292
zero,random_19,0.0,1760.4279580453438,30000,0.10305224334437423,0.07701346001538166,0.9999980843086667,0.0,0,False,1,0,7653403129442.581,0.21390564526291753,720.0,122.70022021655512
zero,random_20,0.0,-953.7328031179425,30000,0.2448847993010636,0.19166401904864241,0.9999569391392772,0.0,0,False,1,0,943640528195.7965,0.07169730692536813,600.0,149.5978241465076
greedy_energy_rt,fixed_1,0.0,-14.651992353831007,30000,0.11213353871108359,0.09009774424644199,0.9811169342708047,581576.7502451909,0,False,1,0,3611187472722.4976,0.06889945233000465,600.0,137.51675388895146
greedy_energy_rt,fixed_2,1.0,464.5251020212201,12306,0.016953525152441928,0.023942143761383133,0.98963308319444,3293040.743264089,0,True,0,0,1103497810893.7246,0.24153673880253185,1000.0,110.16239712723394
greedy_energy_rt,fixed_3,1.0,1710.8162427898121,22101,0.017440988432428802,0.024458928098118667,0.9896567502680381,1816696.2712561593,0,True,0,0,1679538088256.4734,0.006280187128132608,720.0,142.89450322705625
greedy_energy_rt,fixed_4,1.0,288.5036636899613,7869,0.016457887730727892,0.010462678931449452,0.9967281951542728,4302359.593820677,0,True,0,0,577620128702.5442,0.14287573506837878,1000.0,119.47459595524558
