controller_name,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,candidate_id,selected,transfer_family,first_coast,burn1_duration,burn1_norm,burn1_radial_bias,burn1_tangential_bias,transfer_coast,burn2_duration,burn2_norm,burn2_radial_bias,burn2_tangential_bias,transfer_score,transfer_end_radius_ratio,transfer_end_vr_ratio,transfer_end_vt_error_ratio,transfer_end_energy_error_ratio,transfer_end_angular_momentum_error_ratio,transfer_end_eccentricity_proxy,transfer_end_periapsis_ratio,transfer_end_apoapsis_ratio,transfer_end_orbit_crosses_target,transfer_end_predicted_crossing_step,preview_crossing,preview_crossing_step,preview_sync_error,preview_distance_to_recoverable,preview_min_radius_error_ratio,preview_vr_ratio,preview_vt_error_ratio,overspeed,instability
phase31_direct_transfer,phase31_direct_transfer|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1,True,direct_transfer,0,8,0.075,0.0,1.0,24,8,0.105,-0.12,0.2853571800517752,16.32587993150681,0.9800011116531081,0.4193181929598836,0.23676852295256864,0.6646101147595831,0.21203452735108994,0.7122520409196587,0.857950617306409,5.1052584358418205,True,850225,False,,20.965911105301274,22.45984996763522,0.019995124825133465,0.4193228562980569,0.2367637733790057,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,2,False,direct_transfer,6,10,0.095,-0.08,1.0,40,10,0.11,0.0,0.15492348798507125,23.311078977596566,0.9800018078301138,0.48512487992585157,0.4139235074290255,1.1937132721900068,0.3856475934139404,,,,False,734867,False,,24.256246797553803,25.59470501788713,0.01999383799493125,0.4851338438817501,0.4139172253559506,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,3,False,direct_transfer,12,14,0.11,0.08,1.0,56,8,0.09,-0.18,0.2853571800517752,23.39999622901577,0.9800026541181518,0.4362544406513172,0.4394927672138617,1.2216465644132875,0.41070673245346734,,,,False,817154,False,,21.812725042638686,23.299446248142154,0.019993430330108985,0.436264072808456,0.43948701581526595,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,1,True,direct_transfer,0,8,0.075,0.0,1.0,24,8,0.105,-0.12,0.2679491924311225,16.01749037222174,1.0000010990853794,0.40957730764813083,0.2259512169431552,0.670712155433038,0.2259525643682136,0.7106994042365582,0.8785644551923671,5.195148963018221,True,,False,,20.478866793088518,20.4988011446001,1.0990853794270833e-06,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,2,False,direct_transfer,6,10,0.095,-0.08,1.0,40,10,0.11,0.0,0.13397459621556124,23.017161839561037,1.000001789036204,0.4800485945574502,0.4051312233575657,1.20484398605692,0.40513373718819595,,,,False,,False,,24.002432460829763,24.057075154806682,1.7890362041666666e-06,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1|angle=150|thrust=8000|target=1,1.0,150.0,8000.0,3,False,direct_transfer,12,14,0.11,0.08,1.0,56,8,0.09,-0.18,0.2679491924311225,23.086240804872812,1.000002627335756,0.42660547878401534,0.42772334311095933,1.2203914336501804,0.4277270942195485,,,,False,,False,,21.3302768516639,21.398781912939256,2.6273357561197916e-06,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1.02|angle=150|thrust=8000|target=1,1.02,150.0,8000.0,1,False,direct_transfer,0,8,0.075,0.0,-1.0,24,8,0.105,0.12,0.25071443154640943,15.506562456377758,1.020001134965922,0.5905836690256397,-0.10097917064679754,0.19624538979041237,-0.0829977337017292,0.5693226228184604,0.5358319214731918,1.9524897311745968,True,,False,,29.529107709689146,30.59645849031648,0.020001134965921874,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1.02|angle=150|thrust=8000|target=1,1.02,150.0,8000.0,2,True,direct_transfer,6,10,0.095,0.08,-1.0,40,10,0.11,0.0,0.11359250989085172,15.415108682093777,1.0200018950283718,0.5150241150491072,-0.10220628985289075,0.11050271421379051,-0.08424871430539577,0.5040507960471519,0.5575612336067874,1.6908998150767265,True,,False,,25.751129041237014,26.96857476360892,0.020001895028371876,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1.02|angle=150|thrust=8000|target=1,1.02,150.0,8000.0,3,False,direct_transfer,12,14,0.11,-0.08,-1.0,56,8,0.09,0.18,0.25071443154640943,16.25851608378848,1.0200023976130104,0.5733174390202322,-0.3927666088098198,-0.26335442745373006,-0.3806204850753372,0.7178705304414904,0.22331775108204338,1.359769272272889,True,,False,,28.665602844676517,29.80295152773185,0.02000239761301042,,,False,False
phase31_direct_transfer,phase31_direct_transfer|r0=1.05|angle=150|thrust=8000|target=1,1.05,150.0,8000.0,1,False,direct_transfer,0,8,0.075,0.0,-1.0,24,8,0.105,0.12,0.22517606507011506,16.024324810816832,1.0500011211357287,0.5919935931260646,-0.11763134550871633,0.22427098577330076,-0.07351192352912773,0.5780394518338556,0.5439535461836297,2.0342663776821026,True,,False,,29.599605372371805,35.72647298891178,0.05000112113572878,,,False,False
