pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.560967381696465782e+04,-6.733356022665665478e+03,-5.000000000000000278e-02,0.000000000000000000e+00
5.619392823414756358e+07,1.499757598124111328e+11,1.560942450948543410e+04,-6.733385441353088936e+03,7.493321518162335629e-05,1.999999859625326837e-01
1.123878577736618519e+08,1.499515231089082336e+11,1.560942487208730017e+04,-6.732417639697910090e+03,1.498968145220895087e-04,1.999999438273546426e-01
1.685817899244165123e+08,1.499272898894563293e+11,1.560942559743185120e+04,-6.731449847747959211e+03,2.248832099066196957e-04,1.999998735688147955e-01
2.247757259926559925e+08,1.499030601540200500e+11,1.560942668562207655e+04,-6.730482065634274477e+03,2.998934091746350617e-04,1.999997751597314410e-01
2.809696672850135565e+08,1.498788339025635071e+11,1.560942813676599690e+04,-6.729514293488007752e+03,3.749275950900493376e-04,1.999996485729373663e-01
3.371636151085147262e+08,1.498546111350503235e+11,1.560942995097254789e+04,-6.728546531440422768e+03,4.499858128552847321e-04,1.999994937812799300e-01
3.933575707705779672e+08,1.498303918514436951e+11,1.560943212835089798e+04,-6.727578779622895127e+03,5.250680683275470249e-04,1.999993107576214513e-01
4.495515355790148973e+08,1.498061760517062988e+11,1.560943466901025022e+04,-6.726611038166912294e+03,6.001743525728828665e-04,1.999990994748389594e-01
5.057455108420300484e+08,1.497819637358003540e+11,1.560943757305976942e+04,-6.725643307204075427e+03,6.753046500508548848e-04,1.999988599058245275e-01
5.619394978682208061e+08,1.497577549036876221e+11,1.560944084060854948e+04,-6.724675586866096637e+03,7.504589418884043649e-04,1.999985920234853554e-01
6.181334979665769339e+08,1.497335495553294067e+11,1.560944447176559333e+04,-6.723707877284799906e+03,8.256372073679604188e-04,1.999982958007437972e-01
6.743275124464802742e+08,1.497093476906864624e+11,1.560944846663980934e+04,-6.722740178592121993e+03,9.008394246714894471e-04,1.999979712105374174e-01
7.305215426177042723e+08,1.496851493097191467e+11,1.560945282534000216e+04,-6.721772490920111522e+03,9.760655712811281163e-04,1.999976182258192958e-01
7.867155897904138565e+08,1.496609544123872986e+11,1.560945754797486916e+04,-6.720804814400928080e+03,1.051315624208113081e-03,1.999972368195578332e-01
8.429096552751646042e+08,1.496367629986502991e+11,1.560946263465300035e+04,-6.719837149166843119e+03,1.126589560130131619e-03,1.999968269647371399e-01
8.991037403829029799e+08,1.496125750684670410e+11,1.560946808548287663e+04,-6.718869495350239958e+03,1.201887355477160519e-03,1.999963886343569808e-01
9.552978464249652624e+08,1.495883906217959290e+11,1.560947390057286430e+04,-6.717901853083613787e+03,1.277208986487005744e-03,1.999959218014328577e-01
1.011491974713077664e+09,1.495642096585949402e+11,1.560948008003122050e+04,-6.716934222499570751e+03,1.352554429242323712e-03,1.999954264389961767e-01
1.067686126559355617e+09,1.495400321788215027e+11,1.560948662396608961e+04,-6.715966603730827956e+03,1.427923659695947605e-03,1.999949025200944697e-01
1.123880303276303530e+09,1.495158581824326172e+11,1.560949353248549960e+04,-6.714998996910215283e+03,1.503316653688610820e-03,1.999943500177911171e-01
1.180074506176814079e+09,1.494916876693847961e+11,1.560950080569736565e+04,-6.714031402170671754e+03,1.578733386961605470e-03,1.999937689051658751e-01
1.236268736574168205e+09,1.494675206396340637e+11,1.560950844370949017e+04,-6.713063819645249168e+03,1.654173835165984215e-03,1.999931591553147647e-01
1.292462995782034636e+09,1.494433570931359863e+11,1.560951644662955732e+04,-6.712096249467110283e+03,1.729637973869357567e-03,1.999925207413500994e-01
1.348657285114469051e+09,1.494191970298456116e+11,1.560952481456513851e+04,-6.711128691769526995e+03,1.805125778560993325e-03,1.999918536364008459e-01
1.404851605885914326e+09,1.493950404497175293e+11,1.560953354762368872e+04,-6.710161146685883978e+03,1.880637224655680884e-03,1.999911578136124302e-01
1.461045959411199570e+09,1.493708873527058716e+11,1.560954264591254469e+04,-6.709193614349675954e+03,1.956172287496711279e-03,1.999904332461471534e-01
1.517240347005539656e+09,1.493467377387642517e+11,1.560955210953893038e+04,-6.708226094894507696e+03,2.031730942358184796e-03,1.999896799071838871e-01
1.573434769984535456e+09,1.493225916078458252e+11,1.560956193860995154e+04,-6.707258588454095843e+03,2.107313164446827664e-03,1.999888977699185999e-01
1.629629229664172888e+09,1.492984489599032288e+11,1.560957213323259566e+04,-6.706291095162266174e+03,2.182918928903428406e-03,1.999880868075641915e-01
1.685823727360822439e+09,1.492743097948886719e+11,1.560958269351373565e+04,-6.705323615152956336e+03,2.258548210803980587e-03,1.999872469933507702e-01
1.742018264391238928e+09,1.492501741127538452e+11,1.560959361956012435e+04,-6.704356148560213114e+03,2.334200985160611759e-03,1.999863783005254581e-01
1.798212842072561264e+09,1.492260419134499817e+11,1.560960491147839821e+04,-6.703388695518193344e+03,2.409877226922329824e-03,1.999854807023528913e-01
1.854407461722311497e+09,1.492019131969277954e+11,1.560961656937507541e+04,-6.702421256161164820e+03,2.485576910975634962e-03,1.999845541721150810e-01
1.910602124658395052e+09,1.491777879631375427e+11,1.560962859335655594e+04,-6.701453830623505382e+03,2.561300012145017492e-03,1.999835986831114687e-01
1.966796832199099779e+09,1.491536662120289917e+11,1.560964098352911969e+04,-6.700486419039702923e+03,2.637046505193376810e-03,1.999826142086592595e-01
