pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.472243186433545816e+04,-8.499999999999998181e+03,-5.000000000000000278e-02,0.000000000000000000e+00
5.299985720468244702e+07,1.499693998940927124e+11,1.472218255685623444e+04,-8.500029418687421639e+03,7.067762184879405733e-05,1.999999875116840464e-01
1.059997156405946165e+08,1.499388032722624512e+11,1.472218289886449202e+04,-8.499061619521242392e+03,1.413889680762349204e-04,1.999999500228930305e-01
1.589995765395257771e+08,1.499082101344653015e+11,1.472218358303643618e+04,-8.498093832537952039e+03,2.121280343858885720e-04,1.999998875042109381e-01
2.119994411337170005e+08,1.498776204806570129e+11,1.472218460949755718e+04,-8.497126057857269188e+03,2.828956254783890475e-04,1.999997999250626712e-01
2.649993106558754742e+08,1.498470343107928467e+11,1.472218597837735251e+04,-8.496158295599039775e+03,3.536918924424885063e-04,1.999996872548685523e-01
3.179991863391773701e+08,1.498164516248276672e+11,1.472218768980607456e+04,-8.495190545883238883e+03,4.245168773844157709e-04,1.999995494630445736e-01
3.709990694172683954e+08,1.497858724227158813e+11,1.472218974391418124e+04,-8.494222808829970745e+03,4.953705912320169802e-04,1.999993865190024811e-01
4.239989611242642403e+08,1.497552967044114685e+11,1.472219214083218503e+04,-8.493255084559468742e+03,5.662530331857427426e-04,1.999991983921496075e-01
4.769988626947503686e+08,1.497247244698679810e+11,1.472219488069059116e+04,-8.492287373192095401e+03,6.371641972022684718e-04,1.999989850518892331e-01
5.299987753637819290e+08,1.496941557190385132e+11,1.472219796361987392e+04,-8.491319674848340583e+03,7.081040745879041941e-04,1.999987464676205307e-01
5.829987003668836355e+08,1.496635904518757629e+11,1.472220138975046211e+04,-8.490351989648825111e+03,7.790726551773832775e-04,1.999984826087387313e-01
6.359986389400495291e+08,1.496330286683320007e+11,1.472220515921273363e+04,-8.489384317714297140e+03,8.500699279232244330e-04,1.999981934446349863e-01
6.889985923197427988e+08,1.496024703683590088e+11,1.472220927213700816e+04,-8.488416659165633973e+03,9.210958812130524281e-04,1.999978789446968663e-01
7.419985617428956032e+08,1.495719155519081726e+11,1.472221372865354533e+04,-8.487449014123842062e+03,9.921505030508965314e-04,1.999975390783079177e-01
7.949985484469087124e+08,1.495413642189304199e+11,1.472221852889254478e+04,-8.486481382710057005e+03,1.063233781165943579e-03,1.999971738148481615e-01
8.479985536696516275e+08,1.495108163693762512e+11,1.472222367298414429e+04,-8.485513765045543551e+03,1.134345703080488505e-03,1.999967831236940385e-01
9.009985786494619846e+08,1.494802720031957397e+11,1.472222916105841614e+04,-8.484546161251693775e+03,1.205486256153875859e-03,1.999963669742183814e-01
9.539986246251453161e+08,1.494497311203385315e+11,1.472223499324536715e+04,-8.483578571450030722e+03,1.276655427611774786e-03,1.999959253357906641e-01
1.006998692835975170e+09,1.494191937207537842e+11,1.472224116967494228e+04,-8.482610995762202947e+03,1.347853204566194264e-03,1.999954581777769747e-01
1.059998784521692395e+09,1.493886598043902588e+11,1.472224769047701739e+04,-8.481643434309991790e+03,1.419079574029466278e-03,1.999949654695402090e-01
1.112998900922505379e+09,1.493581293711962891e+11,1.472225455578140645e+04,-8.480675887215304101e+03,1.490334522924223514e-03,1.999944471804399604e-01
1.165999043279089689e+09,1.493276024211197205e+11,1.472226176571785254e+04,-8.479708354600177699e+03,1.561618038090637709e-03,1.999939032798327965e-01
1.218999212832587481e+09,1.492970789541080017e+11,1.472226932041603504e+04,-8.478740836586779551e+03,1.632930106291748942e-03,1.999933337370722874e-01
1.271999410824607611e+09,1.492665589701081238e+11,1.472227722000556241e+04,-8.477773333297402132e+03,1.704270714217454193e-03,1.999927385215089781e-01
1.324999638497225046e+09,1.492360424690666504e+11,1.472228546461598125e+04,-8.476805844854470706e+03,1.775639848487517523e-03,1.999921176024906933e-01
1.377999897092981339e+09,1.492055294509296875e+11,1.472229405437676542e+04,-8.475838371380536046e+03,1.847037495653874872e-03,1.999914709493623710e-01
1.431000187854883671e+09,1.491750199156428833e+11,1.472230298941732144e+04,-8.474870912998278072e+03,1.918463642202415838e-03,1.999907985314663128e-01
1.484000512026404858e+09,1.491445138631514893e+11,1.472231226986698857e+04,-8.473903469830507674e+03,1.989918274554362126e-03,1.999901003181422388e-01
1.537000870851482868e+09,1.491140112934002991e+11,1.472232189585503693e+04,-8.472936042000163070e+03,2.061401379067356095e-03,1.999893762787272877e-01
1.590001265574521303e+09,1.490835122063336182e+11,1.472233186751066751e+04,-8.471968629630311625e+03,2.132912942036319440e-03,1.999886263825563226e-01
1.643001697440388203e+09,1.490530166018953857e+11,1.472234218496301219e+04,-8.471001232844149854e+03,2.204452949694122796e-03,1.999878505989616251e-01
1.696002167694416285e+09,1.490225244800290222e+11,1.472235284834113190e+04,-8.470033851764999781e+03,2.276021388212138251e-03,1.999870488972733673e-01
1.749002677582402706e+09,1.489920358406775513e+11,1.472236385777401847e+04,-8.469066486516316218e+03,2.347618243700657845e-03,1.999862212468195288e-01
1.802003228350608826e+09,1.489615506837835388e+11,1.472237521339059458e+04,-8.468099137221679484e+03,2.419243502209248754e-03,1.999853676169259797e-01
1.855003821245759726e+09,1.489310690092891235e+11,1.472238691531971199e+04,-8.467131804004800870e+03,2.490897149727019574e-03,1.999844879769165640e-01
1.908004457515044212e+09,1.489005908171359558e+11,1.472239896369015150e+04,-8.466164486989518991e+03,2.562579172182845831e-03,1.999835822961132659e-01
1.961005138406114340e+09,1.488701161072652893e+11,1.472241135863062300e+04,-8.465197186299799796e+03,2.634289555445537383e-03,1.999826505438361268e-01
2.014005865167085409e+09,1.488396448796178894e+11,1.472242410026976540e+04,-8.464229902059742017e+03,2.706028285323983269e-03,1.999816926894035507e-01
2.067006639046535492e+09,1.488091771341340637e+11,1.472243718873614671e+04,-8.463262634393568078e+03,2.777795347567253628e-03,1.999807087021321372e-01
2.120007461293505192e+09,1.487787128707537231e+11,1.472245062415826033e+04,-8.462295383425631371e+03,2.849590727864682524e-03,1.999796985513371261e-01
2.173008333157497406e+09,1.487482520894163208e+11,1.472246440666453236e+04,-8.461328149280414436e+03,2.921414411845927803e-03,1.999786622063320640e-01
2.226009255888477325e+09,1.487177947900608215e+11,1.472247853638331253e+04,-8.460360932082527142e+03,2.993266385081018791e-03,1.999775996364291375e-01
2.279010230736871719e+09,1.486873409726257629e+11,1.472249301344287960e+04,-8.459393731956708507e+03,3.065146633080383619e-03,1.999765108109392842e-01
2.332011258953568935e+09,1.486568906370492554e+11,1.472250783797143959e+04,-8.458426549027826695e+03,3.137055141294867872e-03,1.999753956991721648e-01
2.385012341789918423e+09,1.486264437832689514e+11,1.472252301009712573e+04,-8.457459383420875383e+03,3.208991895115738489e-03,1.999742542704362469e-01
2.438013480497731209e+09,1.485960004112220154e+11,1.472253852994799672e+04,-8.456492235260979214e+03,3.280956879874689404e-03,1.999730864940389985e-01
2.491014676329278469e+09,1.485655605208451843e+11,1.472255439765203846e+04,-8.455525104673391979e+03,3.352950080843831570e-03,1.999718923392869718e-01
2.544015930537292480e+09,1.485351241120747681e+11,1.472257061333716410e+04,-8.454557991783492980e+03,3.424971483235671275e-03,1.999706717754856922e-01
2.597017244374964714e+09,1.485046911848465881e+11,1.472258717713121223e+04,-8.453590896716792486e+03,3.497021072203100166e-03,1.999694247719400186e-01
