pos_x,pos_y,vel_x,vel_y,thrust_x,thrust_y
0.000000000000000000e+00,1.500000000000000000e+11,1.674173180120753750e+04,-2.952019020337815618e+03,-1.199999999999999956e-01,0.000000000000000000e+00
6.026808046772664040e+07,1.499893726256195068e+11,1.674113346325739985e+04,-2.952048439025239531e+03,2.410724266807911208e-04,5.999999515700690234e-01
1.205361652201755047e+08,1.499787559153989868e+11,1.674113465345801887e+04,-2.949086172365345647e+03,4.822043073253154443e-04,5.999998062324736203e-01
1.808042585431180000e+08,1.499681498693209229e+11,1.674113703415069540e+04,-2.946123910574464844e+03,7.233644339161038892e-04,5.999995639530879554e-01
2.410723647228146195e+08,1.499575544873660889e+11,1.674114060547128611e+04,-2.943161654118390743e+03,9.645568946203210599e-04,5.999992246911632909e-01
3.013404880460883975e+08,1.499469697695136108e+11,1.674114536757605310e+04,-2.940199403463106137e+03,1.205782391707608701e-03,5.999987884061298571e-01
3.616086328003376126e+08,1.499363957157409363e+11,1.674115132062478006e+04,-2.937237159074781175e+03,1.447041063033490142e-03,5.999982550575975182e-01
4.218768032735382915e+08,1.499258323260238342e+11,1.674115846477796003e+04,-2.934274921419773364e+03,1.688332885108786248e-03,5.999976246053555506e-01
4.821450037542438507e+08,1.499152796003363647e+11,1.674116680019599153e+04,-2.931312690964626654e+03,1.929657773867264744e-03,5.999968970093727538e-01
5.424132385315837860e+08,1.499047375386509399e+11,1.674117632703887648e+04,-2.928350468176070535e+03,2.171015618255131650e-03,5.999960722297983384e-01
6.026815118952616453e+08,1.498942061409382629e+11,1.674118704546608205e+04,-2.925388253521018214e+03,2.412406293667066545e-03,5.999951502269615933e-01
6.629498281355530024e+08,1.498836854071673889e+11,1.674119895563648242e+04,-2.922426047466567070e+03,2.653829668053731602e-03,5.999941309613727736e-01
7.232181915433028936e+08,1.498731753373056641e+11,1.674121205770830784e+04,-2.919463850479997291e+03,2.895285604975723643e-03,5.999930143937224347e-01
7.834866064099237919e+08,1.498626759313187561e+11,1.674122635183913735e+04,-2.916501663028771418e+03,3.136773965248205401e-03,5.999918004848824316e-01
8.437550770273929834e+08,1.498521871891706543e+11,1.674124183818587335e+04,-2.913539485580532528e+03,3.378294607880861101e-03,5.999904891959056963e-01
9.040236076882500648e+08,1.498417091108236694e+11,1.674125851690473792e+04,-2.910577318603104231e+03,3.619847390642034601e-03,5.999890804880272377e-01
9.642922026855946779e+08,1.498312416962384338e+11,1.674127638815126920e+04,-2.907615162564489765e+03,3.861432170411464165e-03,5.999875743226631419e-01
1.024560866313083768e+09,1.498207849453738708e+11,1.674129545208031050e+04,-2.904653017932870625e+03,4.103048803408683096e-03,5.999859706614120158e-01
1.084829602864929438e+09,1.498103388581872253e+11,1.674131570884601024e+04,-2.901690885176605661e+03,4.344697145345396104e-03,5.999842694660545428e-01
1.145098416635895967e+09,1.497999034346340637e+11,1.674133715860182201e+04,-2.898728764764231528e+03,4.586377051529892321e-03,5.999824706985539269e-01
1.205367311921297789e+09,1.497894786746682739e+11,1.674135980150050091e+04,-2.895766657164459957e+03,4.828088376940241518e-03,5.999805743210562259e-01
1.265636293016996622e+09,1.497790645782420349e+11,1.674138363769409625e+04,-2.892804562846178669e+03,5.069830976276702705e-03,5.999785802958901293e-01
1.325905364219398975e+09,1.497686611453058472e+11,1.674140866733396251e+04,-2.889842482278448642e+03,5.311604703999943562e-03,5.999764885855681795e-01
1.386174529825453758e+09,1.497582683758085022e+11,1.674143489057074476e+04,-2.886880415930505023e+03,5.553409414359415305e-03,5.999742991527857727e-01
1.446443794132649660e+09,1.497478862696971130e+11,1.674146230755438592e+04,-2.883918364271755308e+03,5.795244961414714943e-03,5.999720119604223800e-01
1.506713161439012527e+09,1.497375148269171448e+11,1.674149091843412316e+04,-2.880956327771778433e+03,6.037111199051930707e-03,5.999696269715411034e-01
1.566982636043102980e+09,1.497271540474122925e+11,1.674152072335848788e+04,-2.877994306900324318e+03,6.279007980996326350e-03,5.999671441493896751e-01
1.627252222244014025e+09,1.497168039311246338e+11,1.674155172247530572e+04,-2.875032302127312960e+03,6.520935160822264633e-03,5.999645634573997910e-01
1.687521924341368198e+09,1.497064644779945068e+11,1.674158391593169654e+04,-2.872070313922833066e+03,6.762892591961139344e-03,5.999618848591879994e-01
1.747791746635314941e+09,1.496961356879605713e+11,1.674161730387406715e+04,-2.869108342757141600e+03,7.004880127707700972e-03,5.999591083185557006e-01
1.808061693426528215e+09,1.496858175609598083e+11,1.674165188644811496e+04,-2.866146389100663328e+03,7.246897621225250469e-03,5.999562337994892580e-01
1.868331769016204119e+09,1.496755100969274902e+11,1.674168766379883164e+04,-2.863184453423988998e+03,7.488944925549880643e-03,5.999532612661606645e-01
1.928601977706058025e+09,1.496652132957971802e+11,1.674172463607049940e+04,-2.860222536197874888e+03,7.731021893594006329e-03,5.999501906829272091e-01
1.988872323798322201e+09,1.496549271575007629e+11,1.674176280340668745e+04,-2.857260637893241892e+03,7.973128378149337697e-03,5.999470220143321431e-01
2.049142811595743179e+09,1.496446516819684448e+11,1.674180216595025195e+04,-2.854298758981175524e+03,8.215264231889394739e-03,5.999437552251046801e-01
2.109413445401579142e+09,1.496343868691286926e+11,1.674184272384333963e+04,-2.851336899932923643e+03,8.457429307371661792e-03,5.999403902801599964e-01
2.169684229519597530e+09,1.496241327189082947e+11,1.674188447722738420e+04,-2.848375061219895997e+03,8.699623457039477523e-03,5.999369271446004515e-01
2.229955168254072666e+09,1.496138892312323608e+11,1.674192742624310995e+04,-2.845413243313663770e+03,8.941846533223642146e-03,5.999333657837144784e-01
2.290226265909782410e+09,1.496036564060242920e+11,1.674197157103052086e+04,-2.842451446685958672e+03,9.184098388143898881e-03,5.999297061629778050e-01
2.350497526792006493e+09,1.495934342432057800e+11,1.674201691172891151e+04,-2.839489671808671574e+03,9.426378873910184683e-03,5.999259482480528982e-01
2.410768955206523418e+09,1.495832227426968384e+11,1.674206344847685978e+04,-2.836527919153852054e+03,9.668687842523825474e-03,5.999220920047900751e-01
2.471040555459607601e+09,1.495730219044157410e+11,1.674211118141223051e+04,-2.833566189193707032e+03,9.911025145878566561e-03,5.999181373992269473e-01
2.531312331858027458e+09,1.495628317282791138e+11,1.674216011067217187e+04,-2.830604482400600773e+03,1.015339063576154409e-02,5.999140843975889759e-01
2.591584288709042549e+09,1.495526522142018127e+11,1.674221023639311534e+04,-2.827642799247053063e+03,1.039578416385418709e-02,5.999099329662899160e-01
2.651856430320401192e+09,1.495424833620970764e+11,1.674226155871077572e+04,-2.824681140205738757e+03,1.063820558173302760e-02,5.999056830719314837e-01
2.712128761000337601e+09,1.495323251718763733e+11,1.674231407776015476e+04,-2.821719505749487325e+03,1.088065474087048477e-02,5.999013346813040215e-01
2.772401285057569504e+09,1.495221776434495239e+11,1.674236779367553027e+04,-2.818757896351280579e+03,1.112313149263560730e-02,5.998968877613863881e-01
2.832674006801295280e+09,1.495120407767245789e+11,1.674242270659046699e+04,-2.815796312484253122e+03,1.136563568829474132e-02,5.998923422793467353e-01
2.892946930541191578e+09,1.495019145716079407e+11,1.674247881663780572e+04,-2.812834754621691445e+03,1.160816717901221387e-02,5.998876982025419524e-01
2.953220060587410450e+09,1.494917990280042725e+11,1.674253612394967422e+04,-2.809873223237032107e+03,1.185072581585096783e-02,5.998829554985185553e-01
3.013493401250577450e+09,1.494816941458165894e+11,1.674259462865747992e+04,-2.806911718803861277e+03,1.209331144977314650e-02,5.998781141350122414e-01
3.073766956841788292e+09,1.494715999249461365e+11,1.674265433089190628e+04,-2.803950241795914280e+03,1.233592393164072328e-02,5.998731740799491119e-01
3.134040731672606945e+09,1.494615163652924500e+11,1.674271523078292012e+04,-2.800988792687074238e+03,1.257856311221603775e-02,5.998681353014443385e-01
3.194314730055062294e+09,1.494514434667534180e+11,1.674277732845976425e+04,-2.798027371951371151e+03,1.282122884216238372e-02,5.998629977678043845e-01
3.254588956301645756e+09,1.494413812292251892e+11,1.674284062405096483e+04,-2.795065980062981453e+03,1.306392097204453831e-02,5.998577614475252284e-01
3.314863414725309372e+09,1.494313296526022034e+11,1.674290511768432043e+04,-2.792104617496226183e+03,1.330663935232928585e-02,5.998524263092940290e-01
3.375138109639462471e+09,1.494212887367771912e+11,1.674297080948690927e+04,-2.789143284725571448e+03,1.354938383338598687e-02,5.998469923219884592e-01
3.435413045357968807e+09,1.494112584816411743e+11,1.674303769958508929e+04,-2.786181982225626143e+03,1.379215426548703605e-02,5.998414594546770395e-01
3.495688226195145130e+09,1.494012388870834656e+11,1.674310578810449078e+04,-2.783220710471141956e+03,1.403495049880841387e-02,5.998358276766202479e-01
3.555963656465757370e+09,1.493912299529916992e+11,1.674317507517002377e+04,-2.780259469937012454e+03,1.427777238343017237e-02,5.998300969572691876e-01
3.616239340485018730e+09,1.493812316792517395e+11,1.674324556090587430e+04,-2.777298261098271723e+03,1.452061976933693294e-02,5.998242672662672526e-01
3.676515282568586349e+09,1.493712440657478027e+11,1.674331724543550445e+04,-2.774337084430093455e+03,1.476349250641838251e-02,5.998183385734492390e-01
3.736791487032560349e+09,1.493612671123623352e+11,1.674339012888164507e+04,-2.771375940407790495e+03,1.500639044446975406e-02,5.998123108488422339e-01
3.797067958193479061e+09,1.493513008189761047e+11,1.674346421136631034e+04,-2.768414829506813476e+03,1.524931343319232448e-02,5.998061840626655039e-01
3.857344700368318081e+09,1.493413451854681702e+11,1.674353949301078319e+04,-2.765453752202750366e+03,1.549226132219388291e-02,5.997999581853310502e-01
3.917621717874486446e+09,1.493314002117158813e+11,1.674361597393561897e+04,-2.762492708971325555e+03,1.573523396098921653e-02,5.997936331874429428e-01
3.977899015029824734e+09,1.493214658975948486e+11,1.674369365426064905e+04,-2.759531700288398042e+03,1.597823119900058930e-02,5.997872090397987632e-01
4.038176596152602673e+09,1.493115422429789734e+11,1.674377253410497724e+04,-2.756570726629961882e+03,1.622125288555820513e-02,5.997806857133887171e-01
4.098454465561515808e+09,1.493016292477404785e+11,1.674385261358697971e+04,-2.753609788472144373e+03,1.646429886990067454e-02,5.997740631793962995e-01
4.158732627575683117e+09,1.492917269117498169e+11,1.674393389282430508e+04,-2.750648886291205145e+03,1.670736900117552465e-02,5.997673414091988509e-01
4.219011086514645100e+09,1.492818352348757935e+11,1.674401637193387069e+04,-2.747688020563535702e+03,1.695046312843962594e-02,5.997605203743668900e-01
4.279289846698359966e+09,1.492719542169854431e+11,1.674410005103186995e+04,-2.744727191765658517e+03,1.719358110065968143e-02,5.997536000466650030e-01
4.339568912447201729e+09,1.492620838579440918e+11,1.674418493023376141e+04,-2.741766400374225668e+03,1.743672276671267424e-02,5.997465803980518428e-01
4.399848288081956863e+09,1.492522241576153870e+11,1.674427100965427599e+04,-2.738805646866018378e+03,1.767988797538636025e-02,5.997394614006799074e-01
4.460127977923823357e+09,1.492423751158612061e+11,1.674435828940741339e+04,-2.735844931717945201e+03,1.792307657537973650e-02,5.997322430268968718e-01
4.520407986294406891e+09,1.492325367325417480e+11,1.674444676960644210e+04,-2.732884255407042474e+03,1.816628841530347135e-02,5.997249252492445892e-01
4.580688317515716553e+09,1.492227090075154724e+11,1.674453645036390299e+04,-2.729923618410472955e+03,1.840952334368040066e-02,5.997175080404593128e-01
4.640968975910166740e+09,1.492128919406391296e+11,1.674462733179160568e+04,-2.726963021205524001e+03,1.865278120894598227e-02,5.997099913734730281e-01
4.701249965800568581e+09,1.492030855317677612e+11,1.674471941400062133e+04,-2.724002464269607572e+03,1.889606185944875741e-02,5.997023752214124537e-01
4.761531291510132790e+09,1.491932897807546692e+11,1.674481269710129709e+04,-2.721041948080258862e+03,1.913936514345082954e-02,5.996946595575999295e-01
4.821812957362464905e+09,1.491835046874514465e+11,1.674490718120324163e+04,-2.718081473115135850e+03,1.938269090912830492e-02,5.996868443555529726e-01
4.882094967681560516e+09,1.491737302517079773e+11,1.674500286641532875e+04,-2.715121039852018384e+03,1.962603900457178530e-02,5.996789295889851656e-01
4.942377326791805267e+09,1.491639664733724060e+11,1.674509975284570828e+04,-2.712160648768806368e+03,1.986940927778680505e-02,5.996709152318059344e-01
5.002660039017971992e+09,1.491542133522911682e+11,1.674519784060178426e+04,-2.709200300343519757e+03,2.011280157669430649e-02,5.996628012581208811e-01
5.062943108685216904e+09,1.491444708883089600e+11,1.674529712979023680e+04,-2.706239995054297196e+03,2.035621574913111520e-02,5.996545876422316734e-01
5.123226540119077682e+09,1.491347390812687988e+11,1.674539762051700382e+04,-2.703279733379395566e+03,2.059965164285038064e-02,5.996462743586364885e-01
5.183510337645471573e+09,1.491250179310119324e+11,1.674549931288729204e+04,-2.700319515797188615e+03,2.084310910552208962e-02,5.996378613820305681e-01
5.243794505590691566e+09,1.491153074373778992e+11,1.674560220700556965e+04,-2.697359342786166053e+03,2.108658798473344795e-02,5.996293486873054412e-01
5.304079048281403542e+09,1.491056076002045288e+11,1.674570630297557364e+04,-2.694399214824932642e+03,2.133008812798943207e-02,5.996207362495499238e-01
5.364363970044644356e+09,1.490959184193279114e+11,1.674581160090029880e+04,-2.691439132392207284e+03,2.157360938271321929e-02,5.996120240440496740e-01
5.424649275207819939e+09,1.490862398945824280e+11,1.674591810088200873e+04,-2.688479095966822570e+03,2.181715159624663183e-02,5.996032120462885251e-01
5.484934968098699570e+09,1.490765720258007202e+11,1.674602580302222486e+04,-2.685519106027723410e+03,2.206071461585063301e-02,5.995943002319468196e-01
5.545221053045417786e+09,1.490669148128137207e+11,1.674613470742173376e+04,-2.682559163053965676e+03,2.230429828870577821e-02,5.995852885769032969e-01
5.605507534376467705e+09,1.490572682554506226e+11,1.674624481418058713e+04,-2.679599267524716197e+03,2.254790246191271455e-02,5.995761770572343163e-01
