6.026808046772664040e+07,1.500106271625659485e+11,1.674113346325739985e+04,2.951989601650391705e+03,-2.410721426487219890e-04,-5.999999515701830433e-01
1.205361565656318069e+08,1.500212434491574097e+11,1.674113224941810040e+04,2.948968497628928162e+03,-4.820846514914271862e-04,-5.999998063286259287e-01
1.808042239249825478e+08,1.500318488597920532e+11,1.674112982204187574e+04,2.945947398515920213e+03,-7.230684781189884074e-04,-5.999995643098218201e-01
2.410722781775789857e+08,1.500424433944893494e+11,1.674112618127678434e+04,2.942926304802990217e+03,-9.640193159277946544e-04,-5.999992255551321874e-01
3.013403149558315277e+08,1.500530270532704773e+11,1.674112132729236691e+04,2.939905216981544527e+03,-1.204936244202514748e-03,-5.999987901059863349e-01
3.616083298927774429e+08,1.500635998361584167e+11,1.674111526026276260e+04,2.936884135542773947e+03,-1.445818906605178056e-03,-5.999982580038788482e-01
4.218763186220874786e+08,1.500741617431779480e+11,1.674110798036388951e+04,2.933863060977653731e+03,-1.686667108102260200e-03,-5.999976292903718145e-01
4.821442767780690193e+08,1.500847127743555298e+11,1.674109948777265527e+04,2.930841993776941763e+03,-1.927480714196508869e-03,-5.999969040070927129e-01
5.424121999956688881e+08,1.500952529297194824e+11,1.674108978266663689e+04,2.927820934431179467e+03,-2.168259617337606453e-03,-5.999960821957354140e-01
6.026800839104751348e+08,1.501057822092998352e+11,1.674107886522396439e+04,2.924799883430691807e+03,-2.409003723486476730e-03,-5.999951638980602908e-01
6.629479241587188244e+08,1.501163006131283875e+11,1.674106673562324067e+04,2.921778841265585470e+03,-2.649712946008185663e-03,-5.999941491558927753e-01
7.232157163772754669e+08,1.501268081412387085e+11,1.674105339404350525e+04,2.918757808425749772e+03,-2.890387202618435389e-03,-5.999930380111246908e-01
7.834834562036666870e+08,1.501373047936661377e+11,1.674103884066422324e+04,2.915736785400855752e+03,-3.131026413739398506e-03,-5.999918305057132528e-01
8.437511392760616541e+08,1.501477905704477844e+11,1.674102307566525997e+04,2.912715772680356622e+03,-3.371630501560216996e-03,-5.999905266816809579e-01
9.040187612332783937e+08,1.501582654716224976e+11,1.674100609922687727e+04,2.909694770753485955e+03,-3.612199389473347202e-03,-5.999891265811162500e-01
9.642863177147854567e+08,1.501687294972308960e+11,1.674098791152972626e+04,2.906673780109258587e+03,-3.852733001722279116e-03,-5.999876302461721878e-01
