controller_name,case_id,r0_over_target,initial_velocity_angle_deg,thrust_scale,candidate_id,selected,duration,norm,radial_bias,tangential_bias,endpoint_score,endpoint_radius_ratio,endpoint_vr_ratio,endpoint_vt_error_ratio,endpoint_energy_error_ratio,endpoint_angular_momentum_error_ratio,endpoint_eccentricity_proxy,endpoint_periapsis_ratio,endpoint_apoapsis_ratio,endpoint_orbit_crosses_target,endpoint_predicted_crossing_step,preview_crossing,preview_crossing_step,preview_sync_error,preview_distance_to_recoverable,preview_min_radius_error_ratio,preview_vr_ratio,preview_vt_error_ratio,overspeed,instability
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,1,False,8,0.05,-0.08,0.7,15.050109312885928,0.9800002236406697,0.49311438471837205,-0.020516523537119084,0.1617338162732815,-0.040105974014036,0.47710002910644395,0.6237875045476314,1.7620894863486352,True,723018,False,,24.655677320252046,25.920363645223397,0.019993137600734765,0.4931135464050409,-0.020523158750195874,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,2,False,8,0.05,-0.08,1.0,15.056180035176148,0.9800002245395429,0.4966752657829668,-0.020170710984870534,0.16593589631763841,-0.039767076754752335,0.48057618833389,0.6227624583924347,1.7751347669767852,True,717834,False,,24.83372183886515,26.089768686709476,0.019993088761904816,0.496674436777303,-0.020177396471486312,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,3,False,8,0.05,-0.08,-0.3,15.656340331611496,0.9800002198082058,0.4779320625705518,-0.22697260159098476,-0.21482545366372716,-0.24243297964139957,0.550274666185103,0.37019749006624325,1.2761295554926946,True,745986,False,,23.896312689368653,25.215381865506394,0.019993345865203384,0.4779262537873731,-0.22697767697565088,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,4,True,8,0.05,-0.08,0.3,15.024188095895868,0.9800002198082206,0.47793215431887104,-0.023392260282433113,0.14136595262048393,-0.042924200410375014,0.4620565879030783,0.6265106930463367,1.702770338964732,True,745986,False,,23.896561936510242,25.199441516714355,0.019993345831014975,0.4779312387302049,-0.023398672327183973,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,5,False,8,0.05,0.0,0.7,15.070479958232742,0.9800002266601917,0.5050762049611444,-0.019835211468391872,0.17500913097650345,-0.03943828507468521,0.488670040221213,0.6198007505028809,1.80446850518877,True,705895,False,,25.25376924941654,26.489888620849737,0.019992973539936197,0.5050753849883308,-0.01984201236289954,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,6,False,8,0.05,0.0,1.0,15.070479958232742,0.9800002266601917,0.5050762049611444,-0.019835211468391872,0.17500913097650345,-0.03943828507468521,0.488670040221213,0.6198007505028809,1.80446850518877,True,705895,False,,25.25376924941654,26.489888620849737,0.019992973539936197,0.5050753849883308,-0.01984201236289954,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,7,False,8,0.05,0.0,-0.3,15.640401166599926,0.9800002266601763,0.505076110006683,-0.2305296626381349,-0.19362937753942727,-0.24591889497709,0.5667950286173568,0.36293088921425604,1.3126310880913312,True,705895,False,,25.253511292485108,26.50556948213715,0.0199929735753194,0.5050702258497022,-0.23053500159688198,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,8,False,8,0.05,0.0,0.3,15.070479958232742,0.9800002266601917,0.5050762049611444,-0.019835211468391872,0.17500913097650345,-0.03943828507468521,0.488670040221213,0.6198007505028809,1.80446850518877,True,705895,False,,25.25376924941654,26.489888620849737,0.019992973539936197,0.5050753849883308,-0.01984201236289954,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,9,False,8,0.05,0.08,0.7,15.09077394953321,0.980000229679713,0.5170380245376026,-0.020516529384858345,0.18590033979541568,-0.04010597382967879,0.49989137687052887,0.6143088464178859,1.8423928300051178,True,689563,False,,25.851859311114787,27.06066071252403,0.01999280947939401,0.5170371862222958,-0.020523486505848874,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,10,False,8,0.05,0.08,1.0,15.084741854882399,0.9800002287808403,0.5134771438111652,-0.02017071509287269,0.18290835467559982,-0.03976707662484812,0.49659126193575737,0.616098256474499,1.831607593223626,True,694345,False,,25.67381574020556,26.890623463288062,0.01999285831809362,0.5134763148041112,-0.020177626739349763,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,11,False,8,0.05,0.08,-0.3,15.587919116012685,0.9800002335121475,0.5322201603800939,-0.2269726128158557,-0.15998619979794676,-0.24243298004825334,0.5781651009615824,0.3636551013381843,1.3605033415367154,True,669893,False,,26.610717579909064,27.80120956395046,0.01999260128438047,0.5322143515981813,-0.22697826471044955,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,12,False,8,0.05,0.08,0.3,15.116396262019288,0.980000233512162,0.5322202521284113,-0.023392273523778782,0.19620520793900947,-0.0429242000035216,0.5135452495738334,0.6051976888017152,1.8829995721830808,True,669893,False,,26.610966826767605,27.786776940414196,0.019992601250192317,0.5322193365353521,-0.0233994139050209,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,13,False,8,0.1,-0.08,0.7,15.450216771215695,0.9800002206211565,0.481152617975249,0.08414939043588412,0.366071875472197,0.062466641813458776,0.5332912095527284,0.7362172025336646,2.4187145990641103,True,740993,False,,24.057631342294695,25.354390988026594,0.01999330164070703,0.48115474686287135,0.08414222432583263,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,14,False,8,0.1,-0.08,1.0,15.466086118042782,0.9800002224189027,0.48827438013089713,0.08484101540543953,0.3744760356471223,0.06314443638647899,0.5412810893901198,0.733335470343551,2.4639840793064085,True,730185,False,,24.4137194543705,25.692539470097397,0.019993203963034115,0.48827652962560886,0.08483373858805042,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,15,False,8,0.1,-0.08,-0.3,16.17348546021732,0.9800002129562285,0.450787973462957,-0.32876276713694635,-0.38704666325619125,-0.34218736885005796,0.6322979473032825,0.2650971033905309,1.1768154529648962,True,790906,False,,22.5390072547348,23.9519530241956,0.019993718169757552,0.450780145094696,-0.32876692390030104,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,16,False,8,0.1,-0.08,0.3,15.36793937593782,0.9800002129562575,0.4507881569595973,0.07839791749663198,0.32533614785948367,0.05683018879828403,0.4964621413854157,0.7463536945354371,2.2180855497705525,True,790905,False,,22.539408255914815,23.91834953686817,0.01999371810138099,0.4507901149860203,0.07839123923861993,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,17,False,8,0.1,0.0,0.7,15.498504406689085,0.9800002266601996,0.5050762585130063,0.08551201411647738,0.3926225051860644,0.0638020198765177,0.5591477738461146,0.7258290435817621,2.5670160438258334,True,705894,False,,25.25381337764392,26.492122617705483,0.019992973519083593,0.5050784280114266,0.08550448224488613,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,18,False,8,0.1,0.0,1.0,15.498504406689085,0.9800002266601996,0.5050762585130063,0.08551201411647738,0.3926225051860644,0.0638020198765177,0.5591477738461146,0.7258290435817621,2.5670160438258334,True,705894,False,,25.25381337764392,26.492122617705483,0.019992973519083593,0.5050784280114266,0.08550448224488613,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,19,False,8,0.1,0.0,-0.3,16.138823079644595,0.9800002266601695,0.505076068604083,-0.3358768882230087,-0.3446545118457962,-0.3491591999282915,0.6560585010924798,0.2557842894792318,1.2315866168620682,True,705895,False,,25.253405486708463,26.523472427691107,0.01999297358984948,0.5050681097341693,-0.3358814962217222,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,20,False,8,0.1,0.0,0.3,15.498504406689085,0.9800002266601996,0.5050762585130063,0.08551201411647738,0.3926225051860644,0.0638020198765177,0.5591477738461146,0.7258290435817621,2.5670160438258334,True,705894,False,,25.25381337764392,26.492122617705483,0.019992973519083593,0.5050784280114266,0.08550448224488613,False,False
phase30_endpoint_grid_search,phase30_endpoint_grid_search|r0=0.98|angle=150|thrust=8000|target=1,0.98,150.0,8000.0,21,False,8,0.1,0.08,0.7,15.532544553805856,0.9800002326992429,0.5289998976137092,0.08414937782668241,0.4144049231747475,0.062466642550888116,0.5822023418123952,0.713458283243525,2.7018709760849653,True,673971,False,,26.44999532421765,27.63465353427798,0.019992645398026303,0.5290020264943582,0.08414149910375399,False,False
