solver_backend,objective_mode,case_label,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,solve_success,solver_status,objective_value,iterations,horizon_steps,control_intervals,hold_steps,crossing_occurs,first_crossing_step,best_sync_error,best_distance_to_recoverable,final_sync_error,final_distance_to_recoverable,final_r_error_ratio,final_vr_ratio,final_vt_error_ratio,best_r_error_ratio,best_vr_ratio,best_vt_error_ratio,recoverable_state,near_recoverable_state,recoverable_crossing,near_recoverable_crossing,capture_potential,success_potential,control_effort,control_smoothness,max_action_norm,overspeed,instability,runtime_seconds
scipy_direct_shooting,radius_only,baseline_crossing_low_angle,1.0,150.0,10000.0,1.0,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,2.475819751866513e-07,2,512,64,8,False,,24.96939031310931,24.9751451782921,24.97050630838931,24.976257608503587,1.4349152730729167e-05,0.49941012616778624,-0.1339836476294623,1.4125039663541666e-05,0.4993878062621862,-0.13402242016048302,False,False,False,False,False,False,3.425111660109994e-11,4.65704398436353e-11,2.1361175573553662e-05,False,False,2.2249650955200195
scipy_direct_shooting,radius_only,baseline_crossing_high_angle,1.0,175.0,10000.0,1.0,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,7.825835733916092e-09,2,512,64,8,False,,4.352331755543596,4.352359101307648,4.3525278939967995,4.35255461062426,2.5011828708333332e-06,0.08705055787993599,-0.0038043519468701145,2.462118466796875e-06,0.08704663511087192,-0.003849240979943574,False,False,False,False,False,False,1.8802868303527344e-11,4.65512051268368e-11,1.7240105292107557e-05,False,False,5.015880107879639
scipy_direct_shooting,radius_only,inner_dead_window,0.98,165.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.4792634760074393,3,512,64,8,False,,13.072335849444247,15.326297243591968,54.02326998848662,54.61112235749112,-0.019976789805103905,1.0804653997697324,-0.024294995856626096,-0.02,0.26144671698888494,-0.02426756872540107,False,False,False,False,False,False,3.1406099419233714e-05,2.285682224169666e-08,0.009616749886072815,False,False,8.138267517089844
scipy_direct_shooting,radius_only,outer_dead_geometry,1.02,170.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.4798604365608462,3,512,64,8,False,,8.000105504763907,8.000795925195257,32.50033358388383,33.46957432100867,0.019989189760810027,-0.6500066716776767,-0.02486086131920292,0.020000263761909765,-0.0006733032371302761,-0.024892275589590753,False,False,False,False,False,False,3.159516042790113e-05,2.2941652229827914e-08,0.009640269926210362,False,False,8.123067855834961
scipy_direct_shooting,recoverability_target,baseline_crossing_low_angle,1.0,150.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0015971517403643768,18,512,64,8,False,,0.0018563031592187498,0.0018574383662306553,0.0018563031592187498,0.0018574383662306553,4.640757898046875e-06,-4.895664688126709e-07,-1.5034703816567596e-05,4.640757898046875e-06,-4.895664688126709e-07,-1.5034703816567596e-05,True,True,False,False,False,False,8.818981243850839e-05,1.1749924531345213e-06,0.014961439096139098,False,False,54.4017333984375
scipy_direct_shooting,recoverability_target,baseline_crossing_high_angle,1.0,175.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002015470069983633,6,512,64,8,True,81,0.00046448578427083333,0.0004697653220873672,0.00046448578427083333,0.0004697653220873672,-1.1612144606770833e-06,1.1111737889615368e-06,1.0740245786785133e-05,-1.1612144606770833e-06,1.1111737889615368e-06,1.0740245786785133e-05,True,True,True,True,True,True,0.00011167841076326726,1.620484406906071e-06,0.01931601997337052,False,False,18.965118408203125
scipy_direct_shooting,recoverability_target,inner_dead_window,0.98,165.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,115.26566444276662,9,512,64,8,False,,8.0021853263175,8.00218542812316,8.0021853263175,8.00218542812316,-0.02000546331579375,1.1981204329801403e-05,-0.0002817869764852012,-0.02000546331579375,1.1981204329801403e-05,-0.0002817869764852012,False,False,False,False,False,False,0.00015024207078129302,3.719524196572696e-06,0.022658306339421858,False,False,23.030959606170654
scipy_direct_shooting,recoverability_target,outer_dead_geometry,1.02,170.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,112.50820186717282,42,512,64,8,False,,7.863561688851614,7.86356179128034,7.863561688851614,7.86356179128034,0.019658904222129035,-2.365001191434111e-05,-0.00011527184229380687,0.019658904222129035,-2.365001191434111e-05,-0.00011527184229380687,False,False,False,False,False,False,0.06684669987728252,0.00029132929014652107,0.2970506454198273,True,False,108.21699166297913
scipy_direct_shooting,sync_error_minimization,baseline_crossing_low_angle,1.0,150.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,142.11123537749782,8,512,64,8,True,258,6.48588374625568,6.766020585125048,21.209441251951862,29.994679407227217,-6.528853654427083e-06,-0.42418882503903726,-5.302360251000222,1.5381824002604167e-06,0.03853489955783701,-1.62147093656392,False,False,False,False,False,False,0.0010739686198780718,5.028349170543412e-07,0.04685983275516478,True,False,160.1641914844513
scipy_direct_shooting,sync_error_minimization,baseline_crossing_high_angle,1.0,175.0,10000.0,1.0,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.002279608758716304,18,512,64,8,True,18,0.01891474388675506,0.0267989023499627,0.01891474388675506,0.0267989023499627,-4.068103137239583e-06,-0.0003782948777351012,0.004728673947046779,-4.068103137239583e-06,-0.0003782948777351012,0.004728673947046779,True,True,True,True,True,True,0.00015051837523588786,1.3089417754363711e-05,0.03274361508307982,False,False,102.93828964233398
