controller_name,transfer_family,case_label,qualitative_family_label,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,recoverable_crossing,recoverable_state,first_crossing_step,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,min_abs_radius_error,min_abs_radius_error_ratio,closest_approach_step,best_crossing_potential,crossing_potential_at_closest,best_post_cross_distance,best_post_cross_sync,radius_crossings_total,overspeed,instability,max_speed_ratio,steps,termination_reason,dominant_stage,radial_velocity_trend,final_radius_error_ratio,final_vr_ratio,final_vt_error_ratio
phase36a_transfer_family_visualization,baseline_phase34,representative_crossing,Phase34 reference transfer,radius_priority,1.0,150.0,8000.0,1.0,True,True,True,1716,-0.013726252132647544,-0.7501864509894992,3.000745803957997,0.0,0.0,1,0.9437305692623708,0.7720677359553495,0.9967521592988361,0.9967521495896127,1,False,False,1.000000000000007,2013,success,phase76_handoff,damped_to_low_radial_motion,-2.6248734375e-09,1.458260943848577e-09,7.133858512510296e-15
phase36a_transfer_family_visualization,baseline_phase34,representative_near_crossing,Phase34 reference transfer,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149442266765.8164,0.01992563556877552,100000,0.8205889613124586,0.38443634393531506,8.647731251747494,7.970254077744948,0,False,False,1.374876627303795,100000,max_steps,phase76_handoff,same_direction_weakening,-0.01992563519436237,0.006674562441768901,-0.8346755087745041
phase36a_transfer_family_visualization,baseline_phase34,representative_over_conservative_transfer,Phase34 reference transfer,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,150000000000.0,0.02,1,0.6984535440274389,0.6984535440274389,9.248438132055265,8.186504103227188,0,False,False,0.9720374749698517,100000,max_steps,coast_arc,same_direction_weakening,0.02046626025806797,0.08161871712335189,-0.34102061779164794
phase36a_transfer_family_visualization,spiral_approach,representative_crossing,gradual low-thrust radius shaping,radius_priority,1.0,150.0,8000.0,1.0,True,True,True,588,-0.024368084348946484,-1.0014581431793745,4.005832572717498,0.0,0.0,1,0.9437304528988553,0.7720677359553495,0.9989702261456906,0.9989702261241067,1,False,False,1.000000000000005,939,success,family_spiral_approach,damped_to_low_radial_motion,-1.6395665104166665e-08,9.108699611137946e-09,5.188260736371124e-15
phase36a_transfer_family_visualization,spiral_approach,representative_near_crossing,gradual low-thrust radius shaping,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149733918419.3672,0.019964522455915627,100000,0.8222491185876676,0.3945902529703459,8.972353820077537,7.98580947646125,0,False,False,1.1986707240486894,100000,max_steps,family_spiral_approach,damped_to_low_radial_motion,-0.019964523691153126,-0.022020241733355542,-0.984814464230863
phase36a_transfer_family_visualization,spiral_approach,representative_over_conservative_transfer,gradual low-thrust radius shaping,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,149659097143.40918,0.01995454628578789,100000,0.8179969114420538,0.5189098341862072,8.980907592498408,7.981818263491562,0,False,False,1.002660836623436,100000,max_steps,family_spiral_approach,damped_to_low_radial_motion,0.019954545658728905,-0.011178411659854198,-1.0196471870056076
phase36a_transfer_family_visualization,delayed_crossing,representative_crossing,delayed commitment before handoff,radius_priority,1.0,150.0,8000.0,1.0,False,False,False,,,,,0.0,0.0,1,0.9616024115433658,0.7720677359553495,4.020308952819845,3.949258235440118,0,False,False,1.0000000000000273,100000,max_steps,family_delayed_commit,damped_to_low_radial_motion,2.501518276015625e-05,-0.01504849951899313,-0.9873145588600295
phase36a_transfer_family_visualization,delayed_crossing,representative_near_crossing,delayed commitment before handoff,radius_priority,0.98,150.0,10000.0,1.0,False,False,False,,,,,149996255948.0371,0.019999500793071615,1617,0.8144002879164287,0.39458264096636625,8.980444740486472,8.040229178377396,0,False,False,1.0052078246048783,100000,max_steps,family_delayed_commit,reversed_direction,-0.02010057294594349,0.006133816483338303,-0.9971535499382638
phase36a_transfer_family_visualization,delayed_crossing,representative_over_conservative_transfer,delayed commitment before handoff,radius_priority,1.02,175.0,8000.0,1.0,False,False,False,,,,,149955835899.91406,0.019994111453321875,99999,0.8180831955029015,0.5187193813022639,8.91982154021304,7.99764444025151,0,False,False,1.0011230487187996,100000,max_steps,family_delayed_commit,reversed_direction,0.019994111100628775,-0.010590169666705802,-0.9785359115356531
phase36a_transfer_family_visualization,energy_bleed_then_cross,representative_crossing,"early tangential energy bleed, later crossing commit",radius_priority,1.0,150.0,8000.0,1.0,False,False,False,,,,,0.0,0.0,1,0.7720677359553495,0.7720677359553495,19.545285896990272,15.797466889968076,0,True,False,1.9036645775640142,58,overspeed,family_energy_bleed,same_direction_weakening,1.299482083203125e-06,0.3159493377993615,-2.877262592131458
