controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_transfer_stage,transfer_stage_counts_json,intercept_classification_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,max_speed_ratio,overspeed,turning_point_count,burn_a_steps,burn_b_steps,coast_arc_steps,safe_coast_steps,burn_a_count,burn_b_count,insertion_attempts,insertion_windows,successful_insertion_windows,handoff_ready_count,handoff_entered,handoff_rate,predicted_crossing_step,burn_b_solver_evals,burn_b_solver_score,insertion_window_conversion_rate,chosen_burn_timing,chosen_burn_angle_deg,chosen_burn_magnitude,chosen_burn_duration,chosen_insertion_mode,pre_burn_state_json,post_burn_state_json,basin_score,handoff_success
baseline_soft_linear_3e4,1.0,170.0,10000.0,1.0,True,True,True,True,-14.98621570953258,-4062.7001351939803,-0.0035620692457484443,-0.9656620114621247,-1402.0849609375,False,0.7768040924515426,0.02687945836559521,False,1,26,96.537109375,1044.1005859375,8.944379745003824,243,True,False,success,soft_window,"{""soft_window"": 26}",{},2.104654818683916e-16,2.7841236850026503e-10,-0.01519224698779198,5.773159728050814e-15,,,1.0000000000000058,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149903420693.5078,152042149718.04883,435.350399634015,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9602439145955881,-0.024895023050582443,-0.9968140561848233,,,0.660937410831621,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.05,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000047244.99414,376723920502.0879,245.09233299130722,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.047619047619047436,0.904173429199429,-0.038926041995105076,-0.9877684143080272,,,0.6466899413308445,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,0.98,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999961308.2578,150158652999.47363,21.693906402381284,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306287,1.0403600897449736,0.006308609146797872,-0.9776460308871338,,,0.6809424166791579,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.0,175.0,10000.0,1.0,True,True,True,True,-79.19029577566481,-3603.0741488999756,-0.01882271833073839,-0.8564136446924371,-4727.6806640625,False,0.7077181783811932,0.021957297513013917,False,1,7,2218.6337890625,2824.8642578125,3.50178163891905,224,True,False,success,soft_window,"{""soft_window"": 7}",{},2.104654818683916e-16,7.532826887231708e-10,-0.003805301908254566,5.773159728050814e-15,,,1.0000000000000058,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149975691666.3994,152426639843.34473,450.8625781484721,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9601427857149094,-0.013620267358068205,-0.9966583439091299,,,0.6609374154950584,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.05,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000023712.72363,376200512372.5088,192.34946452680813,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.9043107315844968,-0.02781352146132343,-0.9878327521071044,,,0.6466899457316065,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,0.98,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149555731584.85742,149555731584.85742,417.52366748323516,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.0090333629213488,-0.12518223472029355,-0.8461621706431245,,,0.6151003680090517,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.0,150.0,12000.0,1.0,True,True,True,True,-39.80874820360246,-4852.3106761866475,-0.009462129762191896,-1.1533443108967762,-1244.0107421875,False,0.9340300045979194,0.03135376273812549,False,4,55,51.9462890625,217.6943359375,21.73237089833826,270,True,False,success,soft_window,"{""soft_window"": 55}",{},0.0,5.8064900861706823e-11,-0.1339745962155613,5.10702591327572e-15,,,1.0000000000000049,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000125183.22852,150024760502.80078,415.61731552270584,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9216906343845764,-0.14250707428745557,-0.8287966577755773,,,0.5950953686791332,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.05,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374726998120.56445,374727036567.166,414.4369643322249,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.8599698975241604,-0.15484574527148331,-0.816415861349129,,,0.5808479001694785,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,0.98,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149761475838.2578,149761475838.2578,217.67228592638764,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.009589035548744,-0.024267568725401145,-0.8296418556332603,,,0.6151003820960751,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
baseline_soft_linear_3e4,1.0,165.0,12000.0,1.0,True,True,True,True,-49.89490215814327,-3804.1918098357014,-0.011859504757034702,-0.904217242924399,-3756.763671875,False,0.7376052005488627,0.020534347013872814,False,1,47,861.8408203125,1917.5859375,12.276941494087875,260,True,False,success,soft_window,"{""soft_window"": 47}",{},2.104654818683916e-16,5.113431463687706e-10,-0.03407417371093191,4.884981308350689e-15,,,1.0000000000000049,False,0,0,0,0,0,0,0,0,0,0,0,True,0.0,,0,,0.0,,,,,,{},{},,True
baseline_soft_linear_3e4,1.02,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000064799.59863,150019903121.16992,215.2844167433694,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9222042531443442,-0.04359091640216495,-0.8103000766065193,,,0.5950953816829558,False,0,0,0,0,0,0,0,0,0,0,0,False,0.0,,0,,0.0,,,,,,{},{},,False
