controller_name,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,crossing_step,crossing_sync,crossing_distance_to_recoverable,crossing_vr_ratio,crossing_vt_error_ratio,best_post_cross_step,best_post_cross_sync,best_distance_to_recoverable,best_post_cross_r_error_ratio,best_post_cross_vr_ratio,best_post_cross_vt_error_ratio,recoverable_state,recoverable_crossing,capture_entered,lock_entered,success,post_cross_duration,actual_post_cross_steps,control_smoothness,mean_post_cross_control_norm,max_post_cross_control_norm,radius_crossings_total,minimum_abs_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_stage,stage_counts_json,max_speed_ratio,overspeed,near_miss
phase31_phase22_baseline_reference,none,0.98,170.0,10000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149445217226.0918,55.39604766297721,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.4140588231546323,False,False
phase31_phase22_baseline_reference,none,1.0,170.0,10000.0,1.0,True,3843,7.4610975801887705,8.013550658069029,-0.1492219516037754,-0.7309675543558039,,,8.013550658069029,,,,,False,True,True,True,0,0,,,,1,15013.0810546875,233.64182222797018,4059,True,False,success,phase76_handoff,"{""phase76_handoff"": 3843}",1.000000000000005,False,False
phase31_phase22_baseline_reference,none,1.02,170.0,10000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,150000072238.28223,690.9551264900366,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9677447593910704,False,False
phase31_phase22_baseline_reference,none,0.98,175.0,10000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,149445934569.71094,55.39604766298058,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.4177865926601643,False,False
phase31_phase22_baseline_reference,none,1.0,175.0,10000.0,1.0,True,44,2.9016636040045847,3.037448426622083,-0.017960415068522723,-0.7254159010011462,,,3.037448426622083,,,,,False,True,True,True,0,0,,,,1,1625.736328125,8.84814968539807,260,True,False,success,phase76_handoff,"{""phase76_handoff"": 44}",1.0000000000000058,False,False
phase31_phase22_baseline_reference,none,1.02,175.0,10000.0,1.0,False,,,,,,,,,,,,,False,False,False,False,0,0,,,,0,150000036257.10254,339.6743835014483,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9675103243982137,False,False
phase34_post_cross_sync,radius_priority,0.98,150.0,8000.0,1.0,False,,,,,,100000,7.976143165121146,8.72362835422565,-0.019940357912802863,0.014300076248037872,-0.8650000513147283,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149552684346.02148,44.324188967479536,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.2998219393460562,False,False
phase34_post_cross_sync,radius_priority,1.0,150.0,8000.0,1.0,True,1716,3.000745803957997,3.078230071647359,-0.013726252132647544,-0.7501864509894992,1797,0.9967521495896127,0.9967521592988361,-2.624540755208333e-09,2.78239297486729e-06,-0.24918803739740317,True,True,True,True,True,360,81,3.835300568355358e-06,0.02389290676123946,0.025999999999999995,1,1161.72265625,9.970352874020607,2013,True,False,success,phase76_handoff,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 1716, ""post_cross_radius_priority"": 81}",1.000000000000007,False,False
phase34_post_cross_sync,radius_priority,1.02,150.0,8000.0,1.0,False,,,,,,100000,24.080776187650365,25.806354047525538,0.022712403407792577,0.4816155237530073,-0.47087713745199994,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000208058.7246,2026.6388578588494,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9741850063012878,False,False
phase34_post_cross_sync,radius_priority,0.98,165.0,8000.0,1.0,False,,,,,,100000,7.976264727244375,8.723739497784022,-0.01994066181811094,0.014300075782831687,-0.8650000508535897,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149554963635.83203,44.324188966992175,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3277791329177384,False,False
